CD_ARR,TX_ARR_NL,Huizen_totaal_2025,Appartementen_2025,Woningen_Nieuwbouw_2019sep-2022aug,Woningen_Nieuwbouw_2022sep-2025aug,Gebouwen_Renovatie_2019sep-2022aug,Gebouwen_Renovatie_2022sep-2025aug,hh_1_2025,hh_2_2025,hh_3_2025,hh_4+_2025,hh_1_abs_toename,hh_2_abs_toename,hh_3_abs_toename,hh_4+_abs_toename,Flats_ratio,Woningen_Nieuwbouw_pct_verschil_36m,Gebouwen_Renovatie_pct_verschil_36m,hh_1_pct_toename,hh_2_pct_toename,hh_3_pct_toename,hh_4+_pct_toename,Totaal_hh_toename
11000,Arrondissement Antwerpen,263374,234741,13499.0,10796.0,8033.0,7084.0,173844.0,140243.0,57207.0,90344.0,12459.0,6436.0,7011.0,5812.0,89.13,-20.02,-11.81,716.962696440487,459.0035081964874,1225.7417448913595,643.1039139289826,31718.0
12000,Arrondissement Mechelen,117520,44990,8173.0,4888.0,3227.0,3066.0,50296.0,52490.0,21045.0,30665.0,6174.0,2776.0,1697.0,2880.0,38.28,-40.19,-4.99,1227.4481668522349,528.747208992189,806.217153718223,939.294211641937,13527.0
13000,Arrondissement Turnhout,162541,51049,10360.0,7705.0,3182.0,2869.0,64357.0,75148.0,28813.0,39808.0,8005.0,2560.0,2436.0,3243.0,31.41,-25.63,-9.84,1243.7839395869912,340.6002155745995,845.4173810432792,814.7002612540191,16244.0
21000,Arrondissement Brussel-Hoofdstad,200463,365579,10348.0,8204.0,5871.0,4534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.37,-20.72,-22.77,0.0,0.0,0.0,0.0,0.0
23000,Arrondissement Halle-Vilvoorde,200466,67078,7939.0,5976.0,5254.0,4849.0,75655.0,80345.0,39636.0,64068.0,6035.0,6589.0,5328.0,5057.0,33.46,-24.73,-7.71,797.5804639481859,820.0339411288818,1344.231254415178,789.2865861272397,23009.0
24000,Arrondissement Leuven,183730,68861,10011.0,6903.0,4929.0,4748.0,79976.0,76839.0,30719.0,44208.0,7052.0,3833.0,962.0,2308.0,37.48,-31.05,-3.67,881.8345628688606,498.9449758586135,313.13044044402494,522.1318313427433,14155.0
25000,Arrondissement Nijvel,137138,48723,4501.0,2931.0,3088.0,2445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.53,-34.88,-20.82,0.0,0.0,0.0,0.0,0.0
31000,Arrondissement Brugge,102404,71053,7702.0,6056.0,3475.0,3142.0,48934.0,47378.0,16150.0,20446.0,3909.0,-433.0,127.0,1080.0,69.38,-21.37,-9.58,798.8247026607266,-91.49645405040314,78.65405572755415,527.9984349016922,4683.0
32000,Arrondissement Diksmuide,20707,2925,1336.0,1138.0,629.0,439.0,7119.0,7963.0,3287.0,4388.0,804.0,380.0,146.0,-9.0,14.13,-14.82,-30.21,1129.4093271526901,477.26108250659297,444.03255247946447,-20.512762078395653,1321.0
33000,Arrondissement Ieper,42420,6913,2294.0,1920.0,1330.0,1104.0,15411.0,16639.0,6093.0,8935.0,1238.0,565.0,373.0,-122.0,16.3,-16.3,-16.99,803.4444877035883,339.39431456217324,612.2455276546858,-136.35332960268605,2054.0
34000,Arrondissement Kortrijk,111675,27782,5646.0,4819.0,3106.0,2534.0,43500.0,45786.0,17137.0,24958.0,3955.0,1512.0,1636.0,1987.0,24.88,-14.65,-18.42,909.3939540229885,330.3307998078015,954.6637684542217,796.1249699495153,9090.0
35000,Arrondissement Oostende,51538,68994,5650.0,3693.0,1374.0,1184.0,33045.0,27246.0,8411.0,10149.0,3455.0,676.0,-15.0,820.0,133.87,-34.64,-13.83,1045.5254955363898,247.94604712618366,-17.606348828914513,807.8239235392649,4936.0
36000,Arrondissement Roeselare,59552,13024,3728.0,2403.0,1389.0,1140.0,22342.0,24283.0,9553.0,13295.0,2689.0,1773.0,787.0,914.0,21.87,-35.54,-17.93,1203.584235968132,730.0484289420583,823.6399036951743,687.4358781496804,6163.0
37000,Arrondissement Tielt,16886,2278,957.0,887.0,390.0,320.0,5097.0,6522.0,2690.0,3747.0,674.0,222.0,41.0,141.0,13.49,-7.31,-17.95,1322.3058661958014,340.33379331493404,152.36951672862455,376.30290899386176,1078.0
38000,Arrondissement Veurne,22126,45108,2649.0,2583.0,769.0,713.0,12875.0,11926.0,2999.0,3471.0,1244.0,245.0,161.0,197.0,203.87,-2.49,-7.28,966.0679611650487,205.39350997819895,536.9596532177393,567.5813886488044,1847.0
41000,Arrondissement Aalst,107654,31356,4857.0,3359.0,2449.0,2070.0,44766.0,45295.0,19076.0,24777.0,5309.0,3461.0,921.0,3367.0,29.13,-30.84,-15.48,1185.9961577983292,764.0981344519264,482.87334871042134,1358.8683052831257,13058.0
42000,Arrondissement Dendermonde,75214,19069,3454.0,2833.0,1745.0,1533.0,29566.0,31685.0,12618.0,17079.0,3480.0,1014.0,594.0,1175.0,25.35,-17.98,-12.15,1177.1900493810458,320.0381568565567,470.6125376446347,687.8243456876867,6263.0
43000,Arrondissement Eeklo,33816,7610,1864.0,1750.0,741.0,626.0,13018.0,14005.0,5463.0,6938.0,1457.0,527.0,336.0,849.0,22.5,-6.12,-15.52,1119.4188815486248,376.3153159585862,614.7437305509793,1223.4133756125684,3169.0
44000,Arrondissement Gent,162854,80251,8755.0,7569.0,5341.0,4586.0,76425.0,69178.0,27460.0,39656.0,4604.0,6868.0,2459.0,1823.0,49.28,-13.55,-14.14,602.2312724893686,992.8191332504554,895.2625637290605,459.4315109945531,15754.0
45000,Arrondissement Oudenaarde,48781,9412,2926.0,2048.0,1401.0,1127.0,17523.0,18705.0,7777.0,10825.0,1881.0,1227.0,43.0,237.0,19.29,-30.01,-19.56,1073.5375221137933,655.9933172948411,55.31284557027137,218.87824480369514,3388.0
46000,Arrondissement Sint-Niklaas,48079,19618,2725.0,2253.0,1101.0,1016.0,21669.0,21808.0,8950.0,13158.0,2013.0,1307.0,1241.0,1568.0,40.8,-17.32,-7.72,928.9277308597535,599.6592076302275,1386.8683798882682,1191.5748594011245,6129.0
51000,Arrondissement Aat,52491,7721,1190.0,909.0,1111.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,-23.61,-21.42,0.0,0.0,0.0,0.0,0.0
52000,Arrondissement Charleroi,150759,36215,1625.0,1994.0,2273.0,1779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.02,22.71,-21.73,0.0,0.0,0.0,0.0,0.0
53000,Arrondissement Bergen,107204,21649,2146.0,1702.0,2054.0,1516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.19,-20.69,-26.19,0.0,0.0,0.0,0.0,0.0
55000,Arrondissement Zinnik,39415,7625,815.0,575.0,830.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35,-29.45,-31.45,0.0,0.0,0.0,0.0,0.0
56000,Arrondissement Thuin,39122,3590,682.0,607.0,719.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,-11.0,-7.51,0.0,0.0,0.0,0.0,0.0
57000,Arrondissement Doornik,91367,16248,1594.0,1101.0,1593.0,1323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.78,-30.93,-16.95,0.0,0.0,0.0,0.0,0.0
57000,Arrondissement Doornik-Moeskroen,91367,16248,1594.0,1101.0,1593.0,1323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.78,-30.93,-16.95,0.0,0.0,0.0,0.0,0.0
58000,Arrondissement La Louvière,54824,9827,875.0,584.0,927.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.92,-33.26,-36.14,0.0,0.0,0.0,0.0,0.0
61000,Arrondissement Hoei,45007,7679,1603.0,1047.0,1101.0,891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.06,-34.68,-19.07,0.0,0.0,0.0,0.0,0.0
62000,Arrondissement Luik,221847,82008,5469.0,3826.0,4458.0,3495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.97,-30.04,-21.6,0.0,0.0,0.0,0.0,0.0
63000,Arrondissement Verviers,108230,27488,3264.0,2567.0,2497.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,-21.35,-19.46,0.0,0.0,0.0,0.0,0.0
64000,Arrondissement Borgworm,30366,6613,992.0,722.0,712.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78,-27.22,-16.43,0.0,0.0,0.0,0.0,0.0
71000,Arrondissement Hasselt,106435,34284,6366.0,5572.0,2180.0,1964.0,41060.0,47164.0,19960.0,27046.0,4981.0,2660.0,153.0,313.0,32.21,-12.47,-9.91,1213.0030686799805,563.9203629887203,76.55756513026051,115.72199216150263,8107.0
72000,Arrondissement Maaseik,89886,23978,5819.0,4096.0,1794.0,1548.0,32104.0,40477.0,15733.0,21760.0,3895.0,1325.0,-94.0,-89.0,26.68,-29.61,-13.71,1213.3022364814353,327.22178027027695,-59.67851013792668,-40.71121323529414,5037.0
73000,Arrondissement Tongeren,39123,12072,2555.0,1890.0,1037.0,848.0,14688.0,17496.0,7486.0,9394.0,1462.0,671.0,-76.0,502.0,30.86,-26.03,-18.23,995.5877587145968,383.6452903520805,-101.68340903018964,534.3244624228231,2559.0
81000,Arrondissement Aarlen,22134,8361,1258.0,1195.0,404.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.77,-5.01,-14.11,0.0,0.0,0.0,0.0,0.0
82000,Arrondissement Bastenaken,13501,1530,600.0,538.0,279.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33,-10.33,-10.39,0.0,0.0,0.0,0.0,0.0
83000,Arrondissement Marche-en-Famenne,24409,5133,1151.0,1415.0,590.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.03,22.94,-8.81,0.0,0.0,0.0,0.0,0.0
84000,Arrondissement Neufchâteau,28209,3950,1345.0,1038.0,497.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-22.83,-5.03,0.0,0.0,0.0,0.0,0.0
85000,Arrondissement Virton,22847,2549,800.0,631.0,451.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16,-21.12,-24.61,0.0,0.0,0.0,0.0,0.0
91000,Arrondissement Dinant,46812,7604,1490.0,1392.0,949.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.24,-6.58,-11.91,0.0,0.0,0.0,0.0,0.0
92000,Arrondissement Namen,111702,34635,3266.0,3153.0,2725.0,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.01,-3.46,-25.43,0.0,0.0,0.0,0.0,0.0
93000,Arrondissement Philippeville,28710,2575,687.0,506.0,650.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97,-26.35,-20.31,0.0,0.0,0.0,0.0,0.0
