CD_REFNIS,CD_SUP_REFNIS,TX_REFNIS_NL,Huizen_totaal_2025,Appartementen_2025,Woningen_Nieuwbouw_2019sep-2022aug,Woningen_Nieuwbouw_2022sep-2025aug,Woningen_Nieuwbouw_pct_verschil_36m,Gebouwen_Renovatie_2019sep-2022aug,Gebouwen_Renovatie_2022sep-2025aug,Gebouwen_Renovatie_pct_verschil_36m,HH_available,hh_1_2025,hh_2_2025,hh_3_2025,hh_4+_2025,hh_1_pct_toename,hh_2_pct_toename,hh_3_pct_toename,hh_4+_pct_toename,hh_1_abs_toename,hh_2_abs_toename,hh_3_abs_toename,hh_4+_abs_toename
93010,93000,Cerfontaine,2172,119,70.0,33.0,-52.86,56.0,50.0,-10.71,False,,,,,,,,,,,,
93014,93000,Couvin,6050,564,91.0,87.0,-4.4,125.0,106.0,-15.2,False,,,,,,,,,,,,
93018,93000,Doische,1468,48,37.0,20.0,-45.95,38.0,24.0,-36.84,False,,,,,,,,,,,,
93022,93000,Florennes,4692,465,101.0,79.0,-21.78,107.0,80.0,-25.23,False,,,,,,,,,,,,
93056,93000,Philippeville,3648,563,171.0,85.0,-50.29,83.0,68.0,-18.07,False,,,,,,,,,,,,
93088,93000,Walcourt,7715,618,175.0,161.0,-8.0,177.0,130.0,-26.55,False,,,,,,,,,,,,
93090,93000,Viroinval,2965,198,42.0,41.0,-2.38,64.0,60.0,-6.25,False,,,,,,,,,,,,
83012,83000,Durbuy,5381,1020,235.0,462.0,96.6,152.0,133.0,-12.5,False,,,,,,,,,,,,
83013,83000,Erezée,1677,102,70.0,73.0,4.29,61.0,49.0,-19.67,False,,,,,,,,,,,,
83028,83000,Hotton,2123,539,114.0,36.0,-68.42,45.0,47.0,4.44,False,,,,,,,,,,,,
83031,83000,La Roche-en-Ardenne,2233,387,109.0,99.0,-9.17,57.0,46.0,-19.3,False,,,,,,,,,,,,
83034,83000,Marche-en-Famenne,6225,2339,368.0,493.0,33.97,123.0,93.0,-24.39,False,,,,,,,,,,,,
83040,83000,Nassogne,2303,299,70.0,46.0,-34.29,44.0,45.0,2.27,False,,,,,,,,,,,,
83044,83000,Rendeux,1295,102,43.0,53.0,23.26,40.0,46.0,15.0,False,,,,,,,,,,,,
83049,83000,Tenneville,1249,211,29.0,57.0,96.55,21.0,27.0,28.57,False,,,,,,,,,,,,
83055,83000,Manhay,1923,134,113.0,96.0,-15.04,47.0,52.0,10.64,False,,,,,,,,,,,,
