y,r,a,v
2017,2000,1,69301
2017,2000,2,163342
2017,2000,3,217657
2017,2000,4,212074
2017,2000,5,131766
2017,3000,1,29082
2017,3000,2,73503
2017,3000,3,100756
2017,3000,4,98901
2017,3000,5,71036
2017,4000,1,12249
2017,4000,2,35524
2017,4000,3,44997
2017,4000,4,40868
2017,4000,5,30567
2018,2000,1,72995
2018,2000,2,168884
2018,2000,3,220046
2018,2000,4,219347
2018,2000,5,140402
2018,3000,1,29554
2018,3000,2,75135
2018,3000,3,102289
2018,3000,4,100624
2018,3000,5,75895
2018,4000,1,12381
2018,4000,2,36486
2018,4000,3,45852
2018,4000,4,42316
2018,4000,5,32152
2019,2000,1,77468
2019,2000,2,176640
2019,2000,3,225493
2019,2000,4,227576
2019,2000,5,152833
2019,3000,1,29820
2019,3000,2,78573
2019,3000,3,104477
2019,3000,4,103845
2019,3000,5,82066
2019,4000,1,12636
2019,4000,2,37279
2019,4000,3,46876
2019,4000,4,43486
2019,4000,5,34409
2020,2000,1,81981
2020,2000,2,185878
2020,2000,3,230437
2020,2000,4,235852
2020,2000,5,162959
2020,3000,1,30288
2020,3000,2,81558
2020,3000,3,105553
2020,3000,4,105201
2020,3000,5,86252
2020,4000,1,12860
2020,4000,2,38195
2020,4000,3,47695
2020,4000,4,44709
2020,4000,5,36025
2021,2000,1,84697
2021,2000,2,198303
2021,2000,3,236620
2021,2000,4,241027
2021,2000,5,174586
2021,3000,1,30758
2021,3000,2,86921
2021,3000,3,109035
2021,3000,4,108818
2021,3000,5,91974
2021,4000,1,12722
2021,4000,2,39612
2021,4000,3,48052
2021,4000,4,45435
2021,4000,5,37951
2022,2000,1,81867
2022,2000,2,207315
2022,2000,3,242243
2022,2000,4,245721
2022,2000,5,187384
2022,3000,1,29746
2022,3000,2,90553
2022,3000,3,110452
2022,3000,4,111466
2022,3000,5,96998
2022,4000,1,12511
2022,4000,2,40479
2022,4000,3,47921
2022,4000,4,45866
2022,4000,5,39644
2023,2000,1,77978
2023,2000,2,225472
2023,2000,3,269858
2023,2000,4,276678
2023,2000,5,218541
2023,3000,1,28282
2023,3000,2,96942
2023,3000,3,120494
2023,3000,4,124970
2023,3000,5,110881
2023,4000,1,12142
2023,4000,2,42748
2023,4000,3,51747
2023,4000,4,50407
2023,4000,5,44374
