y,r,s,g,a,v
2017,2000,A,F,1,276
2017,2000,A,F,2,937
2017,2000,A,F,3,1481
2017,2000,A,F,4,1938
2017,2000,A,F,5,2009
2017,2000,A,M,1,1448
2017,2000,A,M,2,3229
2017,2000,A,M,3,5253
2017,2000,A,M,4,7765
2017,2000,A,M,5,8185
2017,2000,B,F,2,1
2017,2000,B,F,3,4
2017,2000,B,F,4,7
2017,2000,B,F,5,1
2017,2000,B,M,1,1
2017,2000,B,M,2,12
2017,2000,B,M,3,10
2017,2000,B,M,4,25
2017,2000,B,M,5,23
2017,2000,C,F,1,665
2017,2000,C,F,2,1583
2017,2000,C,F,3,2368
2017,2000,C,F,4,1977
2017,2000,C,F,5,994
2017,2000,C,M,1,1991
2017,2000,C,M,2,5442
2017,2000,C,M,3,7888
2017,2000,C,M,4,8171
2017,2000,C,M,5,4879
2017,2000,D,F,1,8
2017,2000,D,F,2,26
2017,2000,D,F,3,44
2017,2000,D,F,4,30
2017,2000,D,F,5,4
2017,2000,D,M,1,45
2017,2000,D,M,2,72
2017,2000,D,M,3,167
2017,2000,D,M,4,227
2017,2000,D,M,5,125
2017,2000,E,F,1,9
2017,2000,E,F,2,32
2017,2000,E,F,3,67
2017,2000,E,F,4,55
2017,2000,E,F,5,36
2017,2000,E,M,1,53
2017,2000,E,M,2,134
2017,2000,E,M,3,253
2017,2000,E,M,4,304
2017,2000,E,M,5,227
2017,2000,F,F,1,442
2017,2000,F,F,2,1605
2017,2000,F,F,3,2348
2017,2000,F,F,4,1880
2017,2000,F,F,5,788
2017,2000,F,M,1,7299
2017,2000,F,M,2,19597
2017,2000,F,M,3,23535
2017,2000,F,M,4,20091
2017,2000,F,M,5,9635
2017,2000,G,F,1,3092
2017,2000,G,F,2,7413
2017,2000,G,F,3,11540
2017,2000,G,F,4,10788
2017,2000,G,F,5,5503
2017,2000,G,M,1,5306
2017,2000,G,M,2,14306
2017,2000,G,M,3,22113
2017,2000,G,M,4,26172
2017,2000,G,M,5,17243
2017,2000,H,F,1,213
2017,2000,H,F,2,482
2017,2000,H,F,3,849
2017,2000,H,F,4,870
2017,2000,H,F,5,391
2017,2000,H,M,1,1293
2017,2000,H,M,2,2766
2017,2000,H,M,3,3791
2017,2000,H,M,4,4077
2017,2000,H,M,5,2574
2017,2000,I,F,1,1552
2017,2000,I,F,2,3403
2017,2000,I,F,3,4706
2017,2000,I,F,4,3962
2017,2000,I,F,5,2042
2017,2000,I,M,1,2722
2017,2000,I,M,2,6531
2017,2000,I,M,3,8597
2017,2000,I,M,4,7481
2017,2000,I,M,5,3451
2017,2000,J,F,1,405
2017,2000,J,F,2,1287
2017,2000,J,F,3,1601
2017,2000,J,F,4,1014
2017,2000,J,F,5,339
2017,2000,J,M,1,2798
2017,2000,J,M,2,7930
2017,2000,J,M,3,8633
2017,2000,J,M,4,5943
2017,2000,J,M,5,2523
2017,2000,K,F,1,141
2017,2000,K,F,2,562
2017,2000,K,F,3,1085
2017,2000,K,F,4,1432
2017,2000,K,F,5,838
2017,2000,K,M,1,382
2017,2000,K,M,2,1421
2017,2000,K,M,3,2740
2017,2000,K,M,4,4810
2017,2000,K,M,5,4060
2017,2000,L,F,1,677
2017,2000,L,F,2,1612
2017,2000,L,F,3,2630
2017,2000,L,F,4,2810
2017,2000,L,F,5,1873
2017,2000,L,M,1,1073
2017,2000,L,M,2,3357
2017,2000,L,M,3,5663
2017,2000,L,M,4,7049
2017,2000,L,M,5,6033
2017,2000,M,F,1,5381
2017,2000,M,F,2,10746
2017,2000,M,F,3,12439
2017,2000,M,F,4,8837
2017,2000,M,F,5,3365
2017,2000,M,M,1,5851
2017,2000,M,M,2,18196
2017,2000,M,M,3,26471
2017,2000,M,M,4,26426
2017,2000,M,M,5,17288
