y,r,g,v
2017,2000,F,238582
2017,2000,M,555558
2017,3000,F,112728
2017,3000,M,260550
2017,4000,F,41714
2017,4000,M,122491
2018,2000,F,249457
2018,2000,M,572217
2018,3000,F,117461
2018,3000,M,266036
2018,4000,F,43415
2018,4000,M,125772
2019,2000,F,262424
2019,2000,M,597586
2019,3000,F,124043
2019,3000,M,274738
2019,4000,F,45503
2019,4000,M,129183
2020,2000,F,275877
2020,2000,M,621230
2020,3000,F,128928
2020,3000,M,279924
2020,4000,F,47533
2020,4000,M,131951
2021,2000,F,291496
2021,2000,M,643737
2021,3000,F,136820
2021,3000,M,290686
2021,4000,F,49925
2021,4000,M,133847
2022,2000,F,302323
2022,2000,M,662207
2022,3000,F,142226
2022,3000,M,296989
2022,4000,F,51614
2022,4000,M,134807
2023,2000,F,332570
2023,2000,M,735957
2023,3000,F,154408
2023,3000,M,327161
2023,4000,F,56124
2023,4000,M,145294
