y,r,s,v
2017,2000,A,32521
2017,2000,B,84
2017,2000,C,35958
2017,2000,D,748
2017,2000,E,1170
2017,2000,F,87220
2017,2000,G,123476
2017,2000,H,17306
2017,2000,I,44447
2017,2000,J,32473
2017,2000,K,17471
2017,2000,L,32777
2017,2000,M,135000
2017,2000,N,42635
2017,2000,O,468
2017,2000,P,15036
2017,2000,Q,70286
2017,2000,R,32813
2017,2000,S,71767
2017,2000,T,381
2017,2000,U,3
2017,2000,X,100
2017,3000,A,21216
2017,3000,B,152
2017,3000,C,15398
2017,3000,D,317
2017,3000,E,762
2017,3000,F,39222
2017,3000,G,58229
2017,3000,H,5632
2017,3000,I,20464
2017,3000,J,12285
2017,3000,K,7041
2017,3000,L,12312
2017,3000,M,50651
2017,3000,N,19350
2017,3000,O,554
2017,3000,P,8213
2017,3000,Q,47453
2017,3000,R,13309
2017,3000,S,40532
2017,3000,T,138
2017,3000,X,48
2017,4000,A,384
2017,4000,B,13
2017,4000,C,3935
2017,4000,D,229
2017,4000,E,108
2017,4000,F,15829
2017,4000,G,21175
2017,4000,H,4581
2017,4000,I,9536
2017,4000,J,9038
2017,4000,K,4385
2017,4000,L,8298
2017,4000,M,33467
2017,4000,N,8478
2017,4000,O,402
2017,4000,P,3682
2017,4000,Q,14438
2017,4000,R,5660
2017,4000,S,20375
2017,4000,T,150
2017,4000,U,19
2017,4000,X,23
2018,2000,A,33013
2018,2000,B,74
2018,2000,C,37054
2018,2000,D,785
2018,2000,E,1181
2018,2000,F,90099
2018,2000,G,124054
2018,2000,H,18058
2018,2000,I,45047
2018,2000,J,34513
2018,2000,K,17211
2018,2000,L,33916
2018,2000,M,141173
2018,2000,N,45033
2018,2000,O,465
2018,2000,P,16288
2018,2000,Q,73010
2018,2000,R,34359
2018,2000,S,75454
2018,2000,T,382
2018,2000,U,4
2018,2000,X,501
2018,3000,A,21431
2018,3000,B,159
2018,3000,C,15697
2018,3000,D,321
2018,3000,E,780
2018,3000,F,39804
2018,3000,G,58423
2018,3000,H,5823
2018,3000,I,20617
2018,3000,J,12928
2018,3000,K,7057
2018,3000,L,12755
2018,3000,M,52898
2018,3000,N,19981
2018,3000,O,592
2018,3000,P,8762
2018,3000,Q,49281
2018,3000,R,13918
2018,3000,S,42004
2018,3000,T,131
2018,3000,X,135
2018,4000,A,408
2018,4000,B,12
2018,4000,C,3959
2018,4000,D,208
2018,4000,E,113
2018,4000,F,16271
2018,4000,G,21071
2018,4000,H,5137
2018,4000,I,9626
2018,4000,J,9717
2018,4000,K,4359
2018,4000,L,8500
2018,4000,M,34787
2018,4000,N,8622
2018,4000,O,373
2018,4000,P,3881
2018,4000,Q,14797
2018,4000,R,6015
2018,4000,S,21023
2018,4000,T,150
2018,4000,U,16
2018,4000,X,142
2019,2000,A,33656
2019,2000,B,72
2019,2000,C,38459
2019,2000,D,946
2019,2000,E,1312
2019,2000,F,96524
2019,2000,G,125870
2019,2000,H,18989
2019,2000,I,45867
2019,2000,J,36737
2019,2000,K,17165
2019,2000,L,35484
2019,2000,M,149697
2019,2000,N,47833
2019,2000,O,532
2019,2000,P,17665
2019,2000,Q,77256
2019,2000,R,36135
2019,2000,S,79332
2019,2000,T,379
2019,2000,U,2
2019,2000,X,98
2019,3000,A,21651
2019,3000,B,158
2019,3000,C,16370
2019,3000,D,352
2019,3000,E,844
2019,3000,F,40834
2019,3000,G,59057
2019,3000,H,6003
2019,3000,I,20938
2019,3000,J,13676
2019,3000,K,7136
2019,3000,L,13665
2019,3000,M,55725
2019,3000,N,21164
2019,3000,O,564
2019,3000,P,9375
2019,3000,Q,51711
2019,3000,R,14985
