Maatregel,Submaatregel,Jaar,Aantal
Dakisolatie,Dak - en Zoldervloerisolatie,2008,19.523
Dakisolatie,Dak - en Zoldervloerisolatie,2009,52.451
Dakisolatie,Dak - en Zoldervloerisolatie,2010,58.662
Dakisolatie,Dak - en Zoldervloerisolatie,2011,69.958
Dakisolatie,Dak - en Zoldervloerisolatie,2012,71.644
Dakisolatie,Dak - en Zoldervloerisolatie,2013,53.298
Dakisolatie,Dak - en Zoldervloerisolatie,2014,41.117
Dakisolatie,Dak - en Zoldervloerisolatie,2015,54.015
Dakisolatie,Dak - en Zoldervloerisolatie,2016,52.575
Dakisolatie,Dak - en Zoldervloerisolatie,2017,47.034
Dakisolatie,Dak - en Zoldervloerisolatie,2018,33.922
Dakisolatie,Dak - en Zoldervloerisolatie,2019,44.322
Dakisolatie,Dak - en Zoldervloerisolatie,2020,37.994
Dakisolatie,Dak - en Zoldervloerisolatie,2021,31.921
Dakisolatie,Dak - en Zoldervloerisolatie,2022,21.514
Dakisolatie,Dak - en Zoldervloerisolatie,2023,26.716
Dakisolatie,Dak - en Zoldervloerisolatie,2024,38.641
Dakisolatie,Huur-Isolatiepremie Dak,2008,0
Dakisolatie,Huur-Isolatiepremie Dak,2009,0
Dakisolatie,Huur-Isolatiepremie Dak,2010,0
Dakisolatie,Huur-Isolatiepremie Dak,2011,0
Dakisolatie,Huur-Isolatiepremie Dak,2012,40
Dakisolatie,Huur-Isolatiepremie Dak,2013,447
Dakisolatie,Huur-Isolatiepremie Dak,2014,646
Dakisolatie,Huur-Isolatiepremie Dak,2015,621
Dakisolatie,Huur-Isolatiepremie Dak,2016,734
Dakisolatie,Huur-Isolatiepremie Dak,2017,665
Dakisolatie,Huur-Isolatiepremie Dak,2018,593
Dakisolatie,Huur-Isolatiepremie Dak,2019,626
Dakisolatie,Huur-Isolatiepremie Dak,2020,775
Dakisolatie,Huur-Isolatiepremie Dak,2021,469
Dakisolatie,Huur-Isolatiepremie Dak,2022,155
Dakisolatie,Huur-Isolatiepremie Dak,2023,19
Dakisolatie,Huur-Isolatiepremie Dak,2024,6
Muurisolatie,Binnenmuurisolatie,2008,0
Muurisolatie,Binnenmuurisolatie,2009,0
Muurisolatie,Binnenmuurisolatie,2010,0
Muurisolatie,Binnenmuurisolatie,2011,0
Muurisolatie,Binnenmuurisolatie,2012,0
Muurisolatie,Binnenmuurisolatie,2013,0
Muurisolatie,Binnenmuurisolatie,2014,0
Muurisolatie,Binnenmuurisolatie,2015,0
Muurisolatie,Binnenmuurisolatie,2016,0
Muurisolatie,Binnenmuurisolatie,2017,251
Muurisolatie,Binnenmuurisolatie,2018,570
Muurisolatie,Binnenmuurisolatie,2019,681
Muurisolatie,Binnenmuurisolatie,2020,701
Muurisolatie,Binnenmuurisolatie,2021,757
Muurisolatie,Binnenmuurisolatie,2022,648
Muurisolatie,Binnenmuurisolatie,2023,818
Muurisolatie,Binnenmuurisolatie,2024,1.505
Muurisolatie,Buitenmuurisolatie,2008,4.064
Muurisolatie,Buitenmuurisolatie,2009,7.171
Muurisolatie,Buitenmuurisolatie,2010,9.160
Muurisolatie,Buitenmuurisolatie,2011,13.240
Muurisolatie,Buitenmuurisolatie,2012,8.194
Muurisolatie,Buitenmuurisolatie,2013,5.618
Muurisolatie,Buitenmuurisolatie,2014,5.268
Muurisolatie,Buitenmuurisolatie,2015,6.999
Muurisolatie,Buitenmuurisolatie,2016,6.534
Muurisolatie,Buitenmuurisolatie,2017,6.399
Muurisolatie,Buitenmuurisolatie,2018,5.951
Muurisolatie,Buitenmuurisolatie,2019,6.863
Muurisolatie,Buitenmuurisolatie,2020,6.993
Muurisolatie,Buitenmuurisolatie,2021,6.923
Muurisolatie,Buitenmuurisolatie,2022,8.250
Muurisolatie,Buitenmuurisolatie,2023,6.810
Muurisolatie,Buitenmuurisolatie,2024,11.051
