Maatregel,Submaatregel,Jaar,Totaal bedrag
Dakisolatie,Dak - en Zoldervloerisolatie,2008,€ 5.886.708
Dakisolatie,Dak - en Zoldervloerisolatie,2009,€ 14.516.069
Dakisolatie,Dak - en Zoldervloerisolatie,2010,€ 17.254.873
Dakisolatie,Dak - en Zoldervloerisolatie,2011,€ 21.763.437
Dakisolatie,Dak - en Zoldervloerisolatie,2012,€ 25.450.948
Dakisolatie,Dak - en Zoldervloerisolatie,2013,€ 25.756.061
Dakisolatie,Dak - en Zoldervloerisolatie,2014,€ 22.293.203
Dakisolatie,Dak - en Zoldervloerisolatie,2015,€ 32.859.328
Dakisolatie,Dak - en Zoldervloerisolatie,2016,€ 33.858.022
Dakisolatie,Dak - en Zoldervloerisolatie,2017,€ 29.137.075
Dakisolatie,Dak - en Zoldervloerisolatie,2018,€ 13.974.023
Dakisolatie,Dak - en Zoldervloerisolatie,2019,€ 13.658.927
Dakisolatie,Dak - en Zoldervloerisolatie,2020,€ 9.182.178
Dakisolatie,Dak - en Zoldervloerisolatie,2021,€ 9.673.096
Dakisolatie,Dak - en Zoldervloerisolatie,2022,€ 11.123.733
Dakisolatie,Dak - en Zoldervloerisolatie,2023,€ 72.234.845
Dakisolatie,Dak - en Zoldervloerisolatie,2024,€ 118.441.502
Dakisolatie,Huur-Isolatiepremie Dak,2008,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2009,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2010,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2011,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2012,€ 66.164
Dakisolatie,Huur-Isolatiepremie Dak,2013,€ 748.784
Dakisolatie,Huur-Isolatiepremie Dak,2014,€ 1.194.059
Dakisolatie,Huur-Isolatiepremie Dak,2015,€ 1.127.217
Dakisolatie,Huur-Isolatiepremie Dak,2016,€ 1.291.323
Dakisolatie,Huur-Isolatiepremie Dak,2017,€ 1.076.947
Dakisolatie,Huur-Isolatiepremie Dak,2018,€ 741.225
Dakisolatie,Huur-Isolatiepremie Dak,2019,€ 831.093
Dakisolatie,Huur-Isolatiepremie Dak,2020,€ 658.806
Dakisolatie,Huur-Isolatiepremie Dak,2021,€ 479.017
Dakisolatie,Huur-Isolatiepremie Dak,2022,€ 211.994
Dakisolatie,Huur-Isolatiepremie Dak,2023,€ 29.609
Dakisolatie,Huur-Isolatiepremie Dak,2024,€ 15.430
Muurisolatie,Binnenmuurisolatie,2008,€ 0
Muurisolatie,Binnenmuurisolatie,2009,€ 0
Muurisolatie,Binnenmuurisolatie,2010,€ 0
Muurisolatie,Binnenmuurisolatie,2011,€ 0
Muurisolatie,Binnenmuurisolatie,2012,€ 0
Muurisolatie,Binnenmuurisolatie,2013,€ 0
Muurisolatie,Binnenmuurisolatie,2014,€ 0
Muurisolatie,Binnenmuurisolatie,2015,€ 0
Muurisolatie,Binnenmuurisolatie,2016,€ 0
Muurisolatie,Binnenmuurisolatie,2017,€ 345.464
Muurisolatie,Binnenmuurisolatie,2018,€ 688.516
Muurisolatie,Binnenmuurisolatie,2019,€ 808.861
Muurisolatie,Binnenmuurisolatie,2020,€ 777.735
Muurisolatie,Binnenmuurisolatie,2021,€ 865.310
Muurisolatie,Binnenmuurisolatie,2022,€ 727.050
Muurisolatie,Binnenmuurisolatie,2023,€ 2.623.224
Muurisolatie,Binnenmuurisolatie,2024,€ 5.341.735
Muurisolatie,Buitenmuurisolatie,2008,€ 1.407.279
Muurisolatie,Buitenmuurisolatie,2009,€ 2.487.848
Muurisolatie,Buitenmuurisolatie,2010,€ 3.512.309
Muurisolatie,Buitenmuurisolatie,2011,€ 5.424.379
Muurisolatie,Buitenmuurisolatie,2012,€ 4.267.583
Muurisolatie,Buitenmuurisolatie,2013,€ 5.910.738
Muurisolatie,Buitenmuurisolatie,2014,€ 5.903.782
Muurisolatie,Buitenmuurisolatie,2015,€ 8.716.795
Muurisolatie,Buitenmuurisolatie,2016,€ 8.744.117
Muurisolatie,Buitenmuurisolatie,2017,€ 8.683.255
Muurisolatie,Buitenmuurisolatie,2018,€ 7.041.579
Muurisolatie,Buitenmuurisolatie,2019,€ 8.232.667
Muurisolatie,Buitenmuurisolatie,2020,€ 7.699.572
Muurisolatie,Buitenmuurisolatie,2021,€ 12.956.924
Muurisolatie,Buitenmuurisolatie,2022,€ 19.758.019
Muurisolatie,Buitenmuurisolatie,2023,€ 27.152.534
Muurisolatie,Buitenmuurisolatie,2024,€ 45.674.068
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2008,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2009,€ 0
