Maatregel,Submaatregel,Jaar,Aantal
Dakisolatie,Dak - en Zoldervloerisolatie,2008,454
Dakisolatie,Dak - en Zoldervloerisolatie,2009,1.963
Dakisolatie,Dak - en Zoldervloerisolatie,2010,1.256
Dakisolatie,Dak - en Zoldervloerisolatie,2011,1.052
Dakisolatie,Dak - en Zoldervloerisolatie,2012,1.316
Dakisolatie,Dak - en Zoldervloerisolatie,2013,1.126
Dakisolatie,Dak - en Zoldervloerisolatie,2014,1.050
Dakisolatie,Dak - en Zoldervloerisolatie,2015,1.495
Dakisolatie,Dak - en Zoldervloerisolatie,2016,1.470
Dakisolatie,Dak - en Zoldervloerisolatie,2017,1.236
Dakisolatie,Dak - en Zoldervloerisolatie,2018,617
Dakisolatie,Dak - en Zoldervloerisolatie,2019,677
Dakisolatie,Dak - en Zoldervloerisolatie,2020,625
Dakisolatie,Dak - en Zoldervloerisolatie,2021,606
Dakisolatie,Dak - en Zoldervloerisolatie,2022,634
Dakisolatie,Dak - en Zoldervloerisolatie,2023,1.412
Dakisolatie,Dak - en Zoldervloerisolatie,2024,1.385
Dakisolatie,Huur-Isolatiepremie Dak,2008,0
Dakisolatie,Huur-Isolatiepremie Dak,2009,0
Dakisolatie,Huur-Isolatiepremie Dak,2010,0
Dakisolatie,Huur-Isolatiepremie Dak,2011,0
Dakisolatie,Huur-Isolatiepremie Dak,2012,0
Dakisolatie,Huur-Isolatiepremie Dak,2013,0
Dakisolatie,Huur-Isolatiepremie Dak,2014,0
Dakisolatie,Huur-Isolatiepremie Dak,2015,0
Dakisolatie,Huur-Isolatiepremie Dak,2016,0
Dakisolatie,Huur-Isolatiepremie Dak,2017,417
Dakisolatie,Huur-Isolatiepremie Dak,2018,210
Dakisolatie,Huur-Isolatiepremie Dak,2019,325
Dakisolatie,Huur-Isolatiepremie Dak,2020,756
Dakisolatie,Huur-Isolatiepremie Dak,2021,9
Dakisolatie,Huur-Isolatiepremie Dak,2022,6
Dakisolatie,Huur-Isolatiepremie Dak,2023,10
Dakisolatie,Huur-Isolatiepremie Dak,2024,X
Muurisolatie,Binnenmuurisolatie,2008,0
Muurisolatie,Binnenmuurisolatie,2009,0
Muurisolatie,Binnenmuurisolatie,2010,0
Muurisolatie,Binnenmuurisolatie,2011,0
Muurisolatie,Binnenmuurisolatie,2012,0
Muurisolatie,Binnenmuurisolatie,2013,0
Muurisolatie,Binnenmuurisolatie,2014,0
Muurisolatie,Binnenmuurisolatie,2015,0
Muurisolatie,Binnenmuurisolatie,2016,0
Muurisolatie,Binnenmuurisolatie,2017,X
Muurisolatie,Binnenmuurisolatie,2018,7
Muurisolatie,Binnenmuurisolatie,2019,12
Muurisolatie,Binnenmuurisolatie,2020,7
Muurisolatie,Binnenmuurisolatie,2021,16
Muurisolatie,Binnenmuurisolatie,2022,26
Muurisolatie,Binnenmuurisolatie,2023,29
Muurisolatie,Binnenmuurisolatie,2024,27
Muurisolatie,Buitenmuurisolatie,2008,50
Muurisolatie,Buitenmuurisolatie,2009,145
Muurisolatie,Buitenmuurisolatie,2010,131
Muurisolatie,Buitenmuurisolatie,2011,195
Muurisolatie,Buitenmuurisolatie,2012,93
Muurisolatie,Buitenmuurisolatie,2013,77
Muurisolatie,Buitenmuurisolatie,2014,98
Muurisolatie,Buitenmuurisolatie,2015,119
Muurisolatie,Buitenmuurisolatie,2016,128
Muurisolatie,Buitenmuurisolatie,2017,108
Muurisolatie,Buitenmuurisolatie,2018,84
Muurisolatie,Buitenmuurisolatie,2019,95
Muurisolatie,Buitenmuurisolatie,2020,165
Muurisolatie,Buitenmuurisolatie,2021,144
Muurisolatie,Buitenmuurisolatie,2022,188
Muurisolatie,Buitenmuurisolatie,2023,268
Muurisolatie,Buitenmuurisolatie,2024,309
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2008,0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2009,0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2010,0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2011,0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2012,0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2013,0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2014,0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2015,0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2016,0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2017,7
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2018,8
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2019,22
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2020,50
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2021,X
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2022,X
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2023,X
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2024,X
Muurisolatie,Muurisolatie,2008,0
Muurisolatie,Muurisolatie,2009,0
Muurisolatie,Muurisolatie,2010,0
Muurisolatie,Muurisolatie,2011,0
Muurisolatie,Muurisolatie,2012,0
Muurisolatie,Muurisolatie,2013,X
Muurisolatie,Muurisolatie,2014,0
Muurisolatie,Muurisolatie,2015,0
Muurisolatie,Muurisolatie,2016,0
Muurisolatie,Muurisolatie,2017,0
Muurisolatie,Muurisolatie,2018,0
Muurisolatie,Muurisolatie,2019,0
Muurisolatie,Muurisolatie,2020,0
Muurisolatie,Muurisolatie,2021,0
Muurisolatie,Muurisolatie,2022,0
Muurisolatie,Muurisolatie,2023,0
Muurisolatie,Muurisolatie,2024,0
Muurisolatie,Spouwmuurisolatie,2008,0
Muurisolatie,Spouwmuurisolatie,2009,0
Muurisolatie,Spouwmuurisolatie,2010,0
Muurisolatie,Spouwmuurisolatie,2011,0
Muurisolatie,Spouwmuurisolatie,2012,112
Muurisolatie,Spouwmuurisolatie,2013,407
Muurisolatie,Spouwmuurisolatie,2014,531
Muurisolatie,Spouwmuurisolatie,2015,642
Muurisolatie,Spouwmuurisolatie,2016,599
Muurisolatie,Spouwmuurisolatie,2017,436
Muurisolatie,Spouwmuurisolatie,2018,270
Muurisolatie,Spouwmuurisolatie,2019,262
Muurisolatie,Spouwmuurisolatie,2020,170
Muurisolatie,Spouwmuurisolatie,2021,155
Muurisolatie,Spouwmuurisolatie,2022,169
Muurisolatie,Spouwmuurisolatie,2023,280
Muurisolatie,Spouwmuurisolatie,2024,313
Vloerisolatie,,2008,X
Vloerisolatie,,2009,94
Vloerisolatie,,2010,16
Vloerisolatie,,2011,6
Vloerisolatie,,2012,44
Vloerisolatie,,2013,101
Vloerisolatie,,2014,98
Vloerisolatie,,2015,111
Vloerisolatie,,2016,115
Vloerisolatie,,2017,115
Vloerisolatie,,2018,86
Vloerisolatie,,2019,99
Vloerisolatie,,2020,90
Vloerisolatie,,2021,106
Vloerisolatie,,2022,162
Vloerisolatie,,2023,182
Vloerisolatie,,2024,215
Hoogrendementsglas,Hoogrendementsglas,2008,1.271
Hoogrendementsglas,Hoogrendementsglas,2009,1.534
Hoogrendementsglas,Hoogrendementsglas,2010,1.313
Hoogrendementsglas,Hoogrendementsglas,2011,843
Hoogrendementsglas,Hoogrendementsglas,2012,927
Hoogrendementsglas,Hoogrendementsglas,2013,1.099
Hoogrendementsglas,Hoogrendementsglas,2014,884
Hoogrendementsglas,Hoogrendementsglas,2015,981
Hoogrendementsglas,Hoogrendementsglas,2016,810
Hoogrendementsglas,Hoogrendementsglas,2017,847
Hoogrendementsglas,Hoogrendementsglas,2018,648
Hoogrendementsglas,Hoogrendementsglas,2019,667
Hoogrendementsglas,Hoogrendementsglas,2020,522
Hoogrendementsglas,Hoogrendementsglas,2021,771
Hoogrendementsglas,Hoogrendementsglas,2022,1.075
Hoogrendementsglas,Hoogrendementsglas,2023,1.467
Hoogrendementsglas,Hoogrendementsglas,2024,1.704
Hoogrendementsglas,Huur-Isolatiepremie Glas,2008,0
Hoogrendementsglas,Huur-Isolatiepremie Glas,2009,0
Hoogrendementsglas,Huur-Isolatiepremie Glas,2010,0
Hoogrendementsglas,Huur-Isolatiepremie Glas,2011,0
Hoogrendementsglas,Huur-Isolatiepremie Glas,2012,0
Hoogrendementsglas,Huur-Isolatiepremie Glas,2013,0
Hoogrendementsglas,Huur-Isolatiepremie Glas,2014,0
Hoogrendementsglas,Huur-Isolatiepremie Glas,2015,0
Hoogrendementsglas,Huur-Isolatiepremie Glas,2016,0
Hoogrendementsglas,Huur-Isolatiepremie Glas,2017,68
Hoogrendementsglas,Huur-Isolatiepremie Glas,2018,146
Hoogrendementsglas,Huur-Isolatiepremie Glas,2019,250
Hoogrendementsglas,Huur-Isolatiepremie Glas,2020,316
Hoogrendementsglas,Huur-Isolatiepremie Glas,2021,16
Hoogrendementsglas,Huur-Isolatiepremie Glas,2022,11
Hoogrendementsglas,Huur-Isolatiepremie Glas,2023,X
Hoogrendementsglas,Huur-Isolatiepremie Glas,2024,13
Condensatieketel,Condensatieketel,2008,390
Condensatieketel,Condensatieketel,2009,864
Condensatieketel,Condensatieketel,2010,767
Condensatieketel,Condensatieketel,2011,578
Condensatieketel,Condensatieketel,2012,814
Condensatieketel,Condensatieketel,2013,1.162
Condensatieketel,Condensatieketel,2014,865
Condensatieketel,Condensatieketel,2015,959
Condensatieketel,Condensatieketel,2016,867
Condensatieketel,Condensatieketel,2017,862
Condensatieketel,Condensatieketel,2018,625
Condensatieketel,Condensatieketel,2019,835
Condensatieketel,Condensatieketel,2020,624
Condensatieketel,Condensatieketel,2021,964
Condensatieketel,Condensatieketel,2022,1.724
Condensatieketel,Condensatieketel,2023,1.093
Condensatieketel,Condensatieketel,2024,756
Warmtepomp,Warmtepomp,2008,5
Warmtepomp,Warmtepomp,2009,X
Warmtepomp,Warmtepomp,2010,X
Warmtepomp,Warmtepomp,2011,5
Warmtepomp,Warmtepomp,2012,7
Warmtepomp,Warmtepomp,2013,14
Warmtepomp,Warmtepomp,2014,11
Warmtepomp,Warmtepomp,2015,26
Warmtepomp,Warmtepomp,2016,20
Warmtepomp,Warmtepomp,2017,13
Warmtepomp,Warmtepomp,2018,18
Warmtepomp,Warmtepomp,2019,29
Warmtepomp,Warmtepomp,2020,18
Warmtepomp,Warmtepomp,2021,34
Warmtepomp,Warmtepomp,2022,40
Warmtepomp,Warmtepomp,2023,121
Warmtepomp,Warmtepomp,2024,218
Zonneboiler,Zonneboiler,2008,27
Zonneboiler,Zonneboiler,2009,29
Zonneboiler,Zonneboiler,2010,36
Zonneboiler,Zonneboiler,2011,26
Zonneboiler,Zonneboiler,2012,58
Zonneboiler,Zonneboiler,2013,370
Zonneboiler,Zonneboiler,2014,162
Zonneboiler,Zonneboiler,2015,128
Zonneboiler,Zonneboiler,2016,132
Zonneboiler,Zonneboiler,2017,82
Zonneboiler,Zonneboiler,2018,28
Zonneboiler,Zonneboiler,2019,23
Zonneboiler,Zonneboiler,2020,15
Zonneboiler,Zonneboiler,2021,8
Zonneboiler,Zonneboiler,2022,15
Zonneboiler,Zonneboiler,2023,20
Zonneboiler,Zonneboiler,2024,8
Warmtepompboiler,Warmtepompboiler,2008,0
Warmtepompboiler,Warmtepompboiler,2009,0
Warmtepompboiler,Warmtepompboiler,2010,0
Warmtepompboiler,Warmtepompboiler,2011,0
Warmtepompboiler,Warmtepompboiler,2012,0
Warmtepompboiler,Warmtepompboiler,2013,0
Warmtepompboiler,Warmtepompboiler,2014,0
Warmtepompboiler,Warmtepompboiler,2015,0
Warmtepompboiler,Warmtepompboiler,2016,0
Warmtepompboiler,Warmtepompboiler,2017,0
Warmtepompboiler,Warmtepompboiler,2018,0
Warmtepompboiler,Warmtepompboiler,2019,14
Warmtepompboiler,Warmtepompboiler,2020,30
Warmtepompboiler,Warmtepompboiler,2021,20
Warmtepompboiler,Warmtepompboiler,2022,33
Warmtepompboiler,Warmtepompboiler,2023,212
Warmtepompboiler,Warmtepompboiler,2024,237
Zonnepanelen,Zonnepanelen,2008,0
Zonnepanelen,Zonnepanelen,2009,0
Zonnepanelen,Zonnepanelen,2010,0
Zonnepanelen,Zonnepanelen,2011,0
Zonnepanelen,Zonnepanelen,2012,0
Zonnepanelen,Zonnepanelen,2013,0
Zonnepanelen,Zonnepanelen,2014,0
Zonnepanelen,Zonnepanelen,2015,0
Zonnepanelen,Zonnepanelen,2016,0
Zonnepanelen,Zonnepanelen,2017,0
Zonnepanelen,Zonnepanelen,2018,0
Zonnepanelen,Zonnepanelen,2019,0
Zonnepanelen,Zonnepanelen,2020,0
Zonnepanelen,Zonnepanelen,2021,154
Zonnepanelen,Zonnepanelen,2022,317
Zonnepanelen,Zonnepanelen,2023,1.531
Zonnepanelen,Zonnepanelen,2024,1.071
Ventilatie,Ventilatie,2008,X
Ventilatie,Ventilatie,2009,5
Ventilatie,Ventilatie,2010,5
Ventilatie,Ventilatie,2011,7
Ventilatie,Ventilatie,2012,5
Ventilatie,Ventilatie,2013,0
Ventilatie,Ventilatie,2014,0
Ventilatie,Ventilatie,2015,0
Ventilatie,Ventilatie,2016,0
Ventilatie,Ventilatie,2017,X
Ventilatie,Ventilatie,2018,6
Ventilatie,Ventilatie,2019,X
Ventilatie,Ventilatie,2020,15
Ventilatie,Ventilatie,2021,11
Ventilatie,Ventilatie,2022,17
Ventilatie,Ventilatie,2023,6
Ventilatie,Ventilatie,2024,X
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2008,0
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2009,0
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2010,0
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2011,0
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2012,0
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2013,0
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2014,0
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2015,0
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2016,0
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2017,7
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2018,25
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2019,36
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2020,59
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2021,32
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2022,56
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2023,10
Totaalrenovatiebonus,Totaalrenovatiebonus 3,2024,23
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2008,0
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2009,0
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2010,0
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2011,0
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2012,0
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2013,0
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2014,0
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2015,0
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2016,0
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2017,X
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2018,9
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2019,10
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2020,17
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2021,15
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2022,21
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2023,6
Totaalrenovatiebonus,Totaalrenovatiebonus 4,2024,11
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2008,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2009,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2010,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2011,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2012,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2013,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2014,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2015,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2016,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2017,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2018,0
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2019,X
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2020,X
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2021,7
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2022,X
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2023,6
Totaalrenovatiebonus,Totaalrenovatiebonus 5,2024,X
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2008,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2009,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2010,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2011,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2012,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2013,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2014,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2015,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2016,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2017,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2018,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2019,0
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2020,X
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2021,X
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2022,X
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2023,X
Totaalrenovatiebonus,Totaalrenovatiebonus 6,2024,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2008,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2009,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2010,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2011,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2012,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2013,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2014,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2015,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2016,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2017,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2018,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2019,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2020,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2021,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2022,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2023,0
Totaalrenovatiebonus,Totaalrenovatiebonus 7,2024,0
EPC-Labelpremie,EPC-Labelpremie,2008,0
EPC-Labelpremie,EPC-Labelpremie,2009,0
EPC-Labelpremie,EPC-Labelpremie,2010,0
EPC-Labelpremie,EPC-Labelpremie,2011,0
EPC-Labelpremie,EPC-Labelpremie,2012,0
EPC-Labelpremie,EPC-Labelpremie,2013,0
EPC-Labelpremie,EPC-Labelpremie,2014,0
EPC-Labelpremie,EPC-Labelpremie,2015,0
EPC-Labelpremie,EPC-Labelpremie,2016,0
EPC-Labelpremie,EPC-Labelpremie,2017,0
EPC-Labelpremie,EPC-Labelpremie,2018,0
EPC-Labelpremie,EPC-Labelpremie,2019,0
EPC-Labelpremie,EPC-Labelpremie,2020,0
EPC-Labelpremie,EPC-Labelpremie,2021,10
