Maatregel,Submaatregel,Jaar,Totaal bedrag
Dakisolatie,Dak - en Zoldervloerisolatie,2008,€ 179.872
Dakisolatie,Dak - en Zoldervloerisolatie,2009,€ 597.851
Dakisolatie,Dak - en Zoldervloerisolatie,2010,€ 470.597
Dakisolatie,Dak - en Zoldervloerisolatie,2011,€ 407.197
Dakisolatie,Dak - en Zoldervloerisolatie,2012,€ 574.350
Dakisolatie,Dak - en Zoldervloerisolatie,2013,€ 745.282
Dakisolatie,Dak - en Zoldervloerisolatie,2014,€ 882.459
Dakisolatie,Dak - en Zoldervloerisolatie,2015,€ 1.307.396
Dakisolatie,Dak - en Zoldervloerisolatie,2016,€ 1.355.104
Dakisolatie,Dak - en Zoldervloerisolatie,2017,€ 1.164.695
Dakisolatie,Dak - en Zoldervloerisolatie,2018,€ 519.282
Dakisolatie,Dak - en Zoldervloerisolatie,2019,€ 565.731
Dakisolatie,Dak - en Zoldervloerisolatie,2020,€ 521.807
Dakisolatie,Dak - en Zoldervloerisolatie,2021,€ 540.600
Dakisolatie,Dak - en Zoldervloerisolatie,2022,€ 748.813
Dakisolatie,Dak - en Zoldervloerisolatie,2023,€ 5.284.356
Dakisolatie,Dak - en Zoldervloerisolatie,2024,€ 5.457.313
Dakisolatie,Huur-Isolatiepremie Dak,2008,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2009,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2010,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2011,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2012,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2013,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2014,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2015,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2016,€ 0
Dakisolatie,Huur-Isolatiepremie Dak,2017,€ 672.514
Dakisolatie,Huur-Isolatiepremie Dak,2018,€ 265.971
Dakisolatie,Huur-Isolatiepremie Dak,2019,€ 406.079
Dakisolatie,Huur-Isolatiepremie Dak,2020,€ 632.762
Dakisolatie,Huur-Isolatiepremie Dak,2021,€ 10.799
Dakisolatie,Huur-Isolatiepremie Dak,2022,€ 5.513
Dakisolatie,Huur-Isolatiepremie Dak,2023,€ 12.537
Dakisolatie,Huur-Isolatiepremie Dak,2024,X
Muurisolatie,Binnenmuurisolatie,2008,€ 0
Muurisolatie,Binnenmuurisolatie,2009,€ 0
Muurisolatie,Binnenmuurisolatie,2010,€ 0
Muurisolatie,Binnenmuurisolatie,2011,€ 0
Muurisolatie,Binnenmuurisolatie,2012,€ 0
Muurisolatie,Binnenmuurisolatie,2013,€ 0
Muurisolatie,Binnenmuurisolatie,2014,€ 0
Muurisolatie,Binnenmuurisolatie,2015,€ 0
Muurisolatie,Binnenmuurisolatie,2016,€ 0
Muurisolatie,Binnenmuurisolatie,2017,X
Muurisolatie,Binnenmuurisolatie,2018,€ 14.969
Muurisolatie,Binnenmuurisolatie,2019,€ 13.464
Muurisolatie,Binnenmuurisolatie,2020,€ 11.664
Muurisolatie,Binnenmuurisolatie,2021,€ 14.130
Muurisolatie,Binnenmuurisolatie,2022,€ 27.523
Muurisolatie,Binnenmuurisolatie,2023,€ 104.776
Muurisolatie,Binnenmuurisolatie,2024,€ 119.202
Muurisolatie,Buitenmuurisolatie,2008,€ 27.290
Muurisolatie,Buitenmuurisolatie,2009,€ 63.374
Muurisolatie,Buitenmuurisolatie,2010,€ 56.431
Muurisolatie,Buitenmuurisolatie,2011,€ 105.203
Muurisolatie,Buitenmuurisolatie,2012,€ 50.513
Muurisolatie,Buitenmuurisolatie,2013,€ 98.214
Muurisolatie,Buitenmuurisolatie,2014,€ 160.679
Muurisolatie,Buitenmuurisolatie,2015,€ 178.017
Muurisolatie,Buitenmuurisolatie,2016,€ 222.544
Muurisolatie,Buitenmuurisolatie,2017,€ 178.364
Muurisolatie,Buitenmuurisolatie,2018,€ 177.393
Muurisolatie,Buitenmuurisolatie,2019,€ 166.266
Muurisolatie,Buitenmuurisolatie,2020,€ 262.091
Muurisolatie,Buitenmuurisolatie,2021,€ 362.676
Muurisolatie,Buitenmuurisolatie,2022,€ 792.164
Muurisolatie,Buitenmuurisolatie,2023,€ 1.136.889
Muurisolatie,Buitenmuurisolatie,2024,€ 1.374.570
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2008,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2009,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2010,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2011,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2012,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2013,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2014,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2015,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2016,€ 0
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2017,€ 8.704
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2018,€ 13.348
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2019,€ 11.056
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2020,€ 51.245
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2021,X
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2022,X
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2023,X
Muurisolatie,Huur-Isolatiepremie Spouwmuur,2024,X
Muurisolatie,Muurisolatie,2008,€ 0
Muurisolatie,Muurisolatie,2009,€ 0
Muurisolatie,Muurisolatie,2010,€ 0
Muurisolatie,Muurisolatie,2011,€ 0
Muurisolatie,Muurisolatie,2012,€ 0
Muurisolatie,Muurisolatie,2013,X
Muurisolatie,Muurisolatie,2014,€ 0
Muurisolatie,Muurisolatie,2015,€ 0
Muurisolatie,Muurisolatie,2016,€ 0
Muurisolatie,Muurisolatie,2017,€ 0
Muurisolatie,Muurisolatie,2018,€ 0
Muurisolatie,Muurisolatie,2019,€ 0
Muurisolatie,Muurisolatie,2020,€ 0
Muurisolatie,Muurisolatie,2021,€ 0
Muurisolatie,Muurisolatie,2022,€ 0
Muurisolatie,Muurisolatie,2023,€ 0
Muurisolatie,Muurisolatie,2024,€ 0
Muurisolatie,Spouwmuurisolatie,2008,€ 0
Muurisolatie,Spouwmuurisolatie,2009,€ 0
Muurisolatie,Spouwmuurisolatie,2010,€ 0
Muurisolatie,Spouwmuurisolatie,2011,€ 0
Muurisolatie,Spouwmuurisolatie,2012,€ 88.193
Muurisolatie,Spouwmuurisolatie,2013,€ 390.525
Muurisolatie,Spouwmuurisolatie,2014,€ 603.595
Muurisolatie,Spouwmuurisolatie,2015,€ 761.666
Muurisolatie,Spouwmuurisolatie,2016,€ 689.833
Muurisolatie,Spouwmuurisolatie,2017,€ 481.706
Muurisolatie,Spouwmuurisolatie,2018,€ 297.721
Muurisolatie,Spouwmuurisolatie,2019,€ 286.222
Muurisolatie,Spouwmuurisolatie,2020,€ 176.676
Muurisolatie,Spouwmuurisolatie,2021,€ 149.814
