year,ratio_code,ratio_label_nl,sector_code,sector_label_nl,sector_short_label,value
2009,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,9.77
2010,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,11.18
2011,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,10.04
2012,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,10.83
2013,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,8.23
2014,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,8.47
2015,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,9.08
2016,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,9.1
2017,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,8.26
2018,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,6.92
2019,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,7.74
2020,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,8.13
2021,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,6.6
2022,R001,1. Brutoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,7.19
2009,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,8.2
2010,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,8.26
2011,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,15.12
2012,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,6.7
2013,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,6.57
2014,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,6.45
2015,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,7.89
2016,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,9.47
2017,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,9.04
2018,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,6.41
2019,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,8.44
2020,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,11.47
2021,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,0.0
2022,R001,1. Brutoverkoopmarge (%),PU220,PU220 : Energie- en waterhuishouding,Energie en water,8.75
2009,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,7.99
2010,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,8.75
2011,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,7.3
2012,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,7.1
2013,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,7.33
2014,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,8.03
2015,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,9.13
2016,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,10.44
2017,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,9.77
2018,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,9.66
2019,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,9.86
2020,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,10.41
2021,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,10.16
2022,R001,1. Brutoverkoopmarge (%),PU290,PU290 : Geheel van de verwerkende industrie,Verwerkende industrie,9.76
2009,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.89
2010,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.94
2011,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.21
2012,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.8
2013,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,8.06
2014,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.81
2015,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,8.17
2016,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.07
2017,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,6.77
2018,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,6.79
2019,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,6.32
2020,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,6.46
2021,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,10.17
2022,R001,1. Brutoverkoopmarge (%),PU300,PU300 : Bouwnijverheid,Bouwnijverheid,7.25
2009,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.06
2010,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.66
2011,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.3
2012,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.08
2013,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.23
2014,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.08
2015,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.48
2016,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.79
2017,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.72
2018,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.25
2019,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.5
2020,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.32
2021,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,3.93
2022,R001,1. Brutoverkoopmarge (%),PU310,PU310 : Handel en reparatie van auto's en consumptieartikelen,Handel en reparatie,4.72
