year,ratio_code,ratio_label_nl,sector_code,sector_label_nl,sector_short_label,value
2009,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,6.14
2010,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,6.77
2011,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,5.16
2012,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,5.08
2013,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,5.09
2014,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,5.69
2015,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,5.63
2016,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,5.06
2017,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,4.71
2018,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,4.66
2019,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,4.41
2020,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,4.35
2021,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,5.23
2022,R001,1. Brutoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,5.54
2009,R001,1. Brutoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,7.87
2010,R001,1. Brutoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,7.46
2011,R001,1. Brutoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,7.94
2012,R001,1. Brutoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,6.85
2013,R001,1. Brutoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,6.12
2014,R001,1. Brutoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,6.16
2015,R001,1. Brutoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,5.61
