id,programma,subprogramma,entiteit,project,deelproject,locatie,budget2025,budget2026,budget2027,budget_total,investment_years,start_year,municipality_codes,municipality_names
gip-0001,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,A11 - milderende maatregelen,Milderende maatregelen,Maldegem; Brugge; Damme; Knokke-Heist,100000.0,0.0,0.0,100000.0,2025,2025,43010;31005;31006;31043,Maldegem;Brugge;Damme;Knokke-Heist
gip-0002,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,A12 Structureel onderhoud Meise-Londerzeel,Uitvoering,Meise; Londerzeel,10273000.0,9727000.0,0.0,20000000.0,2025;2026,2025,23050;23045,Meise;Londerzeel
gip-0003,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,A17 structureel onderhoud vak Roeselare - Kortrijk,Uitvoering,Roeselare; Kortrijk,8000000.0,0.0,0.0,8000000.0,2025,2025,36015;34022,Roeselare;Kortrijk
gip-0004,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,A17 structureel onderhoud vak taalgrens-Aalbeke,Uitvoering,Aalbeke,0.0,0.0,3000000.0,3000000.0,2027,2027,34022,Kortrijk
gip-0005,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,Dienstenzones,"Bewaking, controle en diverse",Vlaanderen,2310000.0,2310000.0,2310000.0,6930000.0,2025;2026;2027,2025,,
gip-0006,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E 17 Structureel onderhoud tussen Beervelde en Lokeren,Uitvoering,Kalken; Lokeren,3500000.0,0.0,0.0,3500000.0,2025,2025,42010;46014,Laarne;Lokeren
gip-0007,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E 17 Structureel onderhoud tussen Sint Niklaas en Kruibeke,Uitvoering,Sint-Niklaas; Kruibeke,3500000.0,0.0,0.0,3500000.0,2025,2025,46021;46013,Sint-Niklaas;Kruibeke
gip-0008,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E17 Dienstenzone Rekkem,Uitvoering,Menen,0.0,0.0,10000000.0,10000000.0,2027,2027,34027,Menen
gip-0009,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E17 Zwijnaarde - Kruishoutem,Uitvoering,Vlaanderen,600000.0,0.0,0.0,600000.0,2025,2025,,
gip-0010,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E19 Structureel onderhoud E19 Zuid,Uitvoering,Hoogstraten; Wuustwezel,7400000.0,0.0,0.0,7400000.0,2025,2025,13014;11053,Hoogstraten;Wuustwezel
gip-0011,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E313,Uitvoering,Vlaanderen,0.0,20000000.0,0.0,20000000.0,2026,2026,,
gip-0012,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E313 van R1 tot splitsing E313 kmpt 4 te Wommelgem tot kmpt 9.6 te Ranst,Uitvoering,Antwerpen,600000.0,0.0,0.0,600000.0,2025,2025,11002,Antwerpen
gip-0013,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E34 Heraanleg Kemzeke - Moerbeke,Uitvoering,Kemzeke; Moerbeke,0.0,0.0,16000000.0,16000000.0,2027,2027,46024;44045,Stekene;Moerbeke
gip-0014,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E34 Stekene - project nieuw nevenbedrijf,haalbaarheidsstudie,Stekene,0.0,100000.0,0.0,100000.0,2026,2026,46024,Stekene
gip-0015,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,E40 Goetsenhoven Structureel onderhoud,Uitvoering,Hoegaarden; Tienen,0.0,5000000.0,0.0,5000000.0,2026,2026,24041;24107,Hoegaarden;Tienen
gip-0016,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,FAST,Uitvoering,Vlaanderen,1215000.0,1215000.0,1215000.0,3645000.0,2025;2026;2027,2025,,
gip-0017,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,PPS A-wegen,Studie,Vlaanderen,5000000.0,5000000.0,5000000.0,15000000.0,2025;2026;2027,2025,,
gip-0018,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,R0 herasfalteren (Beersel/drogenbos),Fase 1,Beersel; Halle; Sint-Pieters-Leeuw,4520000.0,0.0,0.0,4520000.0,2025,2025,23003;23027;23077,Beersel;Halle;Sint-Pieters-Leeuw
gip-0019,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,R2 Antwerpen Structureel Onderhoud,Fase 1,Beveren,5000000.0,0.0,0.0,5000000.0,2025,2025,46003,Beveren
gip-0020,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,Structureel onderhoud wegen A,Uitvoering,Vlaanderen,6800000.0,0.0,0.0,6800000.0,2025,2025,,
gip-0021,Asset Management,Autosnelwegen,Agentschap Wegen En Verkeer,Tijdelijke bruggen A12 (W20 en W21),Fase 1,Grimbergen,0.0,4000000.0,0.0,4000000.0,2026,2026,23025,Grimbergen
gip-0022,Asset Management,Baggerwerken en slibverwerking,Agentschap voor Maritieme Dienstverlening en Kust,Onderhoudsbaggerwerken kustjachthavens Nieuwpoort en Blankenberge en jachthavendokken Oostende en Zeebrugge,Onderhoudsbaggerwerken kustjachthavens Nieuwpoort en Blankenberge en jachthavendokken Oostende en Zeebrugge,Kustjachthavens Vlaanderen,16107000.0,15107000.0,15107000.0,46321000.0,2025;2026;2027,2025,31004;31005;38016;35013,Blankenberge;Brugge;Nieuwpoort;Oostende
gip-0023,Asset Management,Baggerwerken en slibverwerking,De Vlaamse Waterweg,Diverse baggerwerken en speciebehandeling,Diverse baggerwerken en speciebehandeling (te bepalen),Vlaanderen,7321234.0,10000000.0,13000000.0,30321234.0,2025;2026;2027,2025,,
gip-0024,Asset Management,Baggerwerken en slibverwerking,De Vlaamse Waterweg,Diverse baggerwerken en speciebehandeling,Diverse baggerwerken en speciebehandeling- DOP Lochristi,Lochristi,0.0,500000.0,2000000.0,2500000.0,2026;2027,2026,44034,Lochristi
gip-0025,Asset Management,Baggerwerken en slibverwerking,De Vlaamse Waterweg,Diverse baggerwerken en speciebehandeling,Diverse baggerwerken en speciebehandeling- inrichting en beheer Argex-site,Kruibeke,2325000.0,0.0,0.0,2325000.0,2025,2025,46013,Kruibeke
gip-0026,Asset Management,Baggerwerken en slibverwerking,Departement Mobiliteit en Openbare Werken,Baggerwerken in kanalen,Baggerwerken in kanalen,Vaarpas naar zeehavens,8700000.0,8500000.0,18500000.0,35700000.0,2025;2026;2027,2025,,
gip-0027,Asset Management,Baggerwerken en slibverwerking,Departement Mobiliteit en Openbare Werken,Exploitatie slibverwerkingseenheid,Exploitatie slibverwerkingseenheid,Zeehavenoverschrijdend,38500000.0,35500000.0,44500000.0,118500000.0,2025;2026;2027,2025,,
gip-0028,Asset Management,Baggerwerken en slibverwerking,Departement Mobiliteit en Openbare Werken,Onderhoudsbaggerwerken vaarpassen,Onderhoudsbaggerwerken vaarpassen,Vaarpas naar zeehavens,135000000.0,135000000.0,135000000.0,405000000.0,2025;2026;2027,2025,,
gip-0029,Asset Management,Baggerwerken en slibverwerking,Departement Mobiliteit en Openbare Werken,Realisatie slibverwerkingseenheid,Realisatie slibverwerkingseenheid,Zeehavenoverschrijdend,7096046.0,5322035.0,0.0,12418081.0,2025;2026,2025,,
gip-0030,Asset Management,Baggerwerken en slibverwerking,Departement Mobiliteit en Openbare Werken,Technisch vaarwegbeheer,Technisch vaarwegbeheer,Zeehaven van Antwerpen,7500000.0,7500000.0,7500000.0,22500000.0,2025;2026;2027,2025,11002,Antwerpen
gip-0031,Asset Management,Gewestwegen,Agentschap Wegen En Verkeer,3de jaar Bestelling BA00172: Verplaatsen glasvezelkabel ihkv de herinrichting van het kruispunt R40 x Groot Britanniëlaan,Uitvoering,Gent,181653.21,0.0,0.0,181653.21,2025,2025,44021,Gent
