y,nis,n,name,p,gr
2010,11001,5796,Aartselaar,10000,-6.26
2010,11002,227568,Antwerpen,10000,-6.22
2010,11004,4939,Boechout,10000,-14.55
2010,11005,7244,Boom,10000,-7.39
2010,11007,4545,Borsbeek,10000,-7.94
2010,11008,15429,Brasschaat,10000,-7.48
2010,11009,10718,Brecht,10000,-13.96
2010,11013,9157,Edegem,10000,-8.47
2010,11016,6964,Essen,10000,-13.49
2010,11018,4270,Hemiksem,10000,-13.81
2010,11021,3159,Hove (Antwerpen),10000,-8.38
2010,11022,6896,Kalmthout,10000,-14.75
2010,11023,10796,Kapellen (Antwerpen),10000,-7.32
2010,11024,8197,Kontich,10000,-10.13
2010,11025,3200,Lint,10000,-8.44
2010,11029,10769,Mortsel,10000,-7.11
2010,11030,3905,Niel,10000,-12.72
2010,11035,7179,Ranst,10000,-12.84
2010,11037,5862,Rumst,10000,-7.71
2010,11038,3305,Schelle,10000,-9.18
2010,11039,7716,Schilde,10000,-8.31
2010,11040,13989,Schoten,10000,-5.19
2010,11044,7414,Stabroek,10000,-8.87
2010,11050,3715,Wijnegem,10000,-15.24
2010,11052,4946,Wommelgem,10000,-9.25
2010,11053,7399,Wuustwezel,10000,-17.66
2010,11054,4797,Zandhoven,10000,-15.5
2010,11055,8105,Zoersel,10000,-13.01
2010,11056,7911,Zwijndrecht,10000,-4.82
2010,11057,5598,Malle,10000,-16.34
2010,12002,4364,Berlaar,10000,-13.31
2010,12005,5721,Bonheiden,10000,-8.71
2010,12007,8435,Bornem,10000,-13.09
2010,12009,6781,Duffel,10000,-10.42
2010,12014,16623,Heist-op-den-Berg,10000,-14.05
2010,12021,14798,Lier,10000,-13.94
2010,12025,34619,Mechelen,10000,-8.34
2010,12026,8730,Nijlen,10000,-11.76
2010,12029,6756,Putte,10000,-16.25
2010,12035,7808,Sint-Katelijne-Waver,10000,-10.19
2010,12040,10003,Willebroek,10000,-10.73
2010,12041,9811,Puurs-Sint-Amands,10000,-11.7
2010,13001,4976,Arendonk,10000,-10.97
2010,13002,1038,Baarle-Hertog,10000,-17.94
2010,13003,8579,Balen,10000,-12.78
2010,13004,6556,Beerse,10000,-12.97
2010,13006,3675,Dessel,10000,-10.76
2010,13008,15417,Geel,10000,-16.07
2010,13010,4403,Grobbendonk,10000,-11.14
2010,13011,11562,Herentals,10000,-11.71
2010,13012,3582,Herenthout,10000,-13.73
2010,13013,5827,Herselt,10000,-8.57
2010,13014,7809,Hoogstraten,10000,-15.54
2010,13016,4132,Hulshout,10000,-11.77
2010,13017,7080,Kasterlee,10000,-14.46
2010,13019,6388,Lille,10000,-10.04
2010,13021,3996,Meerhout,10000,-11.16
2010,13023,3093,Merksplas,10000,-10.74
2010,13025,14361,Mol,10000,-14.32
2010,13029,4772,Olen,10000,-11.43
2010,13031,4992,Oud-Turnhout,10000,-16.59
2010,13035,5658,Ravels,10000,-12.13
2010,13036,4250,Retie,10000,-12.32
2010,13037,4368,Rijkevorsel,10000,-14.12
2010,13040,18303,Turnhout,10000,-12.36
2010,13044,3024,Vorselaar,10000,-12.73
2010,13046,3996,Vosselaar,10000,-16.59
2010,13049,9721,Westerlo,10000,-10.41
2010,13053,6314,Laakdal,10000,-13.48
2010,23002,12579,Asse,20001,-9.52
2010,23003,9268,Beersel,20001,-7.89
2010,23009,839,Bever,20001,-9.4
2010,23016,16301,Dilbeek,20001,-8.73
2010,23023,3327,Galmaarden,20001,-8.14
2010,23024,3493,Gooik,20001,-9.65
2010,23025,14922,Grimbergen,20001,-8.59
2010,23027,15221,Halle (Halle-Vilvoorde),20001,-14.23
2010,23032,2556,Herne,20001,-7.36
2010,23033,4176,Hoeilaart,20001,-8.4
2010,23038,4397,Kampenhout,20001,-11.74
2010,23039,3695,Kapelle-op-den-Bos,20001,-11.67
2010,23044,5042,Liedekerke,20001,-10.19
2010,23045,7238,Londerzeel,20001,-10.06
2010,23047,5356,Machelen (Halle-Vilvoorde),20001,-9.51
2010,23050,7228,Meise,20001,-12.69
2010,23052,6371,Merchtem,20001,-15.81
2010,23060,5374,Opwijk,20001,-11.77
2010,23062,9531,Overijse,20001,-6.57
2010,23064,1565,Pepingen,20001,-8.75
2010,23077,12687,Sint-Pieters-Leeuw,20001,-8.43
2010,23081,4486,Steenokkerzeel,20001,-9.14
2010,23086,6014,Ternat,20001,-9.85
