period,rate
2015-01,2.7
2015-02,2.59
2015-03,2.54
2015-04,2.49
2015-05,2.46
2015-06,2.43
2015-07,2.46
2015-08,2.45
2015-09,2.45
2015-10,2.49
2015-11,2.51
2015-12,2.48
2016-01,2.46
2016-02,2.4
2016-03,2.27
2016-04,2.16
2016-05,2.08
2016-06,2.05
2016-07,2.04
2016-08,2.03
2016-09,2.01
2016-10,2.0
2016-11,1.99
2016-12,1.99
2017-01,2.03
2017-02,2.06
2017-03,2.11
2017-04,2.16
2017-05,2.15
2017-06,2.16
2017-07,2.14
2017-08,2.13
2017-09,2.13
2017-10,2.1
2017-11,2.07
2017-12,2.03
2018-01,2.02
2018-02,2.02
2018-03,2.0
2018-04,2.01
2018-05,2.02
2018-06,2.01
2018-07,2.0
2018-08,1.97
2018-09,1.95
2018-10,1.94
2018-11,1.95
2018-12,1.97
2019-01,1.96
2019-02,1.95
2019-03,1.91
2019-04,1.87
2019-05,1.84
2019-06,1.79
2019-07,1.78
2019-08,1.74
2019-09,1.68
2019-10,1.64
2019-11,1.61
2019-12,1.56
2020-01,1.69
2020-02,1.67
2020-03,1.66
2020-04,1.6
2020-05,1.52
2020-06,1.48
2020-07,1.45
2020-08,1.42
2020-09,1.4
2020-10,1.4
2020-11,1.4
2020-12,1.37
2021-01,1.36
2021-02,1.34
2021-03,1.34
2021-04,1.33
2021-05,1.33
2021-06,1.35
2021-07,1.36
2021-08,1.38
2021-09,1.38
2021-10,1.38
2021-11,1.38
2021-12,1.38
2022-01,1.38
2022-02,1.43
2022-03,1.47
2022-04,1.55
2022-05,1.7
2022-06,1.86
2022-07,2.09
2022-08,2.3
2022-09,2.48
2022-10,2.62
2022-11,2.76
2022-12,2.91
2023-01,2.99
2023-02,3.11
2023-03,3.17
2023-04,3.19
2023-05,3.28
2023-06,3.38
2023-07,3.36
2023-08,3.4
2023-09,3.45
2023-10,3.47
2023-11,3.56
2023-12,3.6
2024-01,3.38
2024-02,3.38
2024-03,3.21
2024-04,3.1
2024-05,3.14
2024-06,3.15
2024-07,3.11
2024-08,3.12
2024-09,3.09
2024-10,3.03
2024-11,2.97
2024-12,2.89
2025-01,2.84
2025-02,2.87
2025-03,2.88
2025-04,2.95
2025-05,3.0
2025-06,3.08
2025-07,3.12
2025-08,3.16
2025-09,3.22
2025-10,3.26
2025-11,3.28
2025-12,3.33
2026-01,3.32
