y,r,p,n1,fr,s1,s2,s3,s4,s5,r1,r2,r3,r4,r5
2008,2000,10000,A,264,256,242.0,227.0,221.0,209.0,0.9696969697,0.9166666667,0.8598484848,0.8371212121,0.7916666667
2008,2000,10000,C,408,383,340.0,313.0,297.0,275.0,0.9387254902,0.8333333333,0.7671568627,0.7279411765,0.6740196078
2008,2000,10000,D,6,6,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0
2008,2000,10000,E,20,18,18.0,18.0,18.0,17.0,0.9,0.9,0.9,0.9,0.85
2008,2000,10000,F,1388,1315,1237.0,1139.0,1066.0,980.0,0.9474063401,0.8912103746,0.8206051873,0.7680115274,0.7060518732
2008,2000,10000,G,1783,1624,1457.0,1326.0,1231.0,1121.0,0.9108244532,0.8171620864,0.7436904094,0.6904094223,0.6287156478
2008,2000,10000,H,275,246,223.0,208.0,188.0,171.0,0.8945454545,0.8109090909,0.7563636364,0.6836363636,0.6218181818
2008,2000,10000,I,826,731,629.0,550.0,479.0,420.0,0.8849878935,0.7615012107,0.6658595642,0.5799031477,0.5084745763
2008,2000,10000,J,767,701,631.0,571.0,526.0,484.0,0.9139504563,0.8226857888,0.7444589309,0.6857887875,0.631029987
2008,2000,10000,K,88,81,75.0,66.0,63.0,57.0,0.9204545455,0.8522727273,0.75,0.7159090909,0.6477272727
2008,2000,10000,L,233,212,197.0,188.0,175.0,164.0,0.9098712446,0.8454935622,0.8068669528,0.7510729614,0.7038626609
2008,2000,10000,M,2019,1879,1763.0,1661.0,1574.0,1479.0,0.930658742,0.8732045567,0.8226844973,0.7795938583,0.7325408618
2008,2000,10000,N,707,631,588.0,532.0,482.0,440.0,0.8925035361,0.8316831683,0.7524752475,0.6817538897,0.6223479491
2008,2000,10000,O,3,3,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.6666666667,0.6666666667
2008,2000,10000,P,160,142,127.0,113.0,105.0,101.0,0.8875,0.79375,0.70625,0.65625,0.63125
2008,2000,10000,Q,167,140,121.0,111.0,97.0,88.0,0.8383233533,0.7245508982,0.6646706587,0.5808383234,0.5269461078
2008,2000,10000,R,462,419,376.0,333.0,311.0,292.0,0.9069264069,0.8138528139,0.7207792208,0.6731601732,0.632034632
2008,2000,10000,S,657,586,536.0,479.0,429.0,388.0,0.8919330289,0.8158295282,0.7290715373,0.6529680365,0.5905631659
2008,2000,10000,T,2,2,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2008,2000,20001,A,160,151,140.0,133.0,127.0,125.0,0.94375,0.875,0.83125,0.79375,0.78125
2008,2000,20001,C,152,141,134.0,128.0,128.0,123.0,0.9276315789,0.8815789474,0.8421052632,0.8421052632,0.8092105263
2008,2000,20001,D,4,4,4.0,4.0,3.0,3.0,1.0,1.0,1.0,0.75,0.75
2008,2000,20001,E,6,6,5.0,5.0,5.0,5.0,1.0,0.8333333333,0.8333333333,0.8333333333,0.8333333333
2008,2000,20001,F,615,581,557.0,502.0,471.0,444.0,0.9447154472,0.9056910569,0.8162601626,0.7658536585,0.7219512195
2008,2000,20001,G,807,728,666.0,608.0,557.0,514.0,0.9021065675,0.8252788104,0.7534076828,0.6902106568,0.6369268897
2008,2000,20001,H,159,142,131.0,116.0,105.0,99.0,0.893081761,0.8238993711,0.7295597484,0.6603773585,0.6226415094
2008,2000,20001,I,347,304,260.0,230.0,207.0,186.0,0.8760806916,0.7492795389,0.6628242075,0.5965417867,0.5360230548
2008,2000,20001,J,506,454,414.0,377.0,350.0,318.0,0.8972332016,0.8181818182,0.7450592885,0.6916996047,0.628458498
2008,2000,20001,K,44,44,40.0,38.0,38.0,35.0,1.0,0.9090909091,0.8636363636,0.8636363636,0.7954545455
2008,2000,20001,L,123,115,107.0,101.0,98.0,91.0,0.9349593496,0.8699186992,0.8211382114,0.7967479675,0.7398373984
2008,2000,20001,M,1198,1121,1054.0,996.0,936.0,880.0,0.9357262104,0.8797996661,0.8313856427,0.7813021703,0.734557596
2008,2000,20001,N,448,416,385.0,362.0,331.0,309.0,0.9285714286,0.859375,0.8080357143,0.7388392857,0.6897321429
2008,2000,20001,O,2,1,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
2008,2000,20001,P,103,91,81.0,74.0,65.0,59.0,0.8834951456,0.786407767,0.7184466019,0.6310679612,0.572815534
2008,2000,20001,Q,83,73,65.0,56.0,53.0,47.0,0.8795180723,0.7831325301,0.6746987952,0.6385542169,0.5662650602
