period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,9311
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Industriële technici,1808
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,1659
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,1217
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,659
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,628
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Transport- en logistieke beroepen,Transport- en logistiek personeel,450
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Machinisten en kraanmannen,429
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",330
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Transport- en logistieke beroepen,Bestuurders in het wegtransport,322
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Vertegenwoordigers,317
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,306
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,247
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,172
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,139
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,134
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,125
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Accountants,105
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",97
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,Leidinggevenden,89
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Voer- en werktuigherstellers,82
