period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,vacatures
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,11399
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,4526
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Organisatieondersteunende en kennisberoepen,1449
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Transport- en logistieke beroepen,803
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,489
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Dienstverlenende beroepen,186
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Land-, tuin- en bosbouw- en visserijberoepen",97
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,16
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Pedagogische beroepen,4
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Vrijetijds- en artistieke beroepen,4
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Medische, paramedische en verzorgende beroepen",0
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Onbekend,0
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Bouwberoepen,14436
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,5228
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Organisatieondersteunende en kennisberoepen,2837
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Transport- en logistieke beroepen,972
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Handels- en verkoopberoepen,486
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Dienstverlenende beroepen,204
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,"Land-, tuin- en bosbouw- en visserijberoepen",101
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Horecaberoepen,25
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Vrijetijds- en artistieke beroepen,8
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Pedagogische beroepen,2
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,"Medische, paramedische en verzorgende beroepen",0
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bouwberoepen,10744
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,4810
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,1634
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Transport- en logistieke beroepen,803
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Handels- en verkoopberoepen,450
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Dienstverlenende beroepen,197
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,"Land-, tuin- en bosbouw- en visserijberoepen",151
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Horecaberoepen,27
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Vrijetijds- en artistieke beroepen,3
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,"Medische, paramedische en verzorgende beroepen",1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Pedagogische beroepen,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bouwberoepen,10464
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,4308
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,1288
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Transport- en logistieke beroepen,643
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Handels- en verkoopberoepen,313
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,"Land-, tuin- en bosbouw- en visserijberoepen",150
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Dienstverlenende beroepen,90
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Horecaberoepen,10
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,"Medische, paramedische en verzorgende beroepen",4
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Pedagogische beroepen,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Vrijetijds- en artistieke beroepen,1
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bouwberoepen,12503
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,5124
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,1899
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Transport- en logistieke beroepen,876
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Handels- en verkoopberoepen,480
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Dienstverlenende beroepen,182
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,"Land-, tuin- en bosbouw- en visserijberoepen",157
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Vrijetijds- en artistieke beroepen,33
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Horecaberoepen,22
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Pedagogische beroepen,11
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,"Medische, paramedische en verzorgende beroepen",6
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bouwberoepen,13228
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Industriële beroepen en ambachten,7334
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Organisatieondersteunende en kennisberoepen,2531
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Transport- en logistieke beroepen,1063
