period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Architect,7
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,BIM-expert (Building Information Modeling),18
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Bodemonderzoeker,5
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Bouwkundig tekenaar,182
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Calculator bouw,350
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,EPB-verslaggever,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Ingenieur studie en advies bouw,154
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Interieurarchitect interieurvormgever,56
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Landmeter,27
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Landschapsarchitect,5
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Projectleider bouw en openbare werken,215
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Veiligheidscoördinator,9
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Werfbediende,47
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Werfleider,583
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,"Aansluiter van waterleidingen, rioleringen en warmtenetten",17
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Asbestverwijderaar,67
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Bekister-betonneerder,231
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Beveiligingstechnicus,181
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Brandertechnicus,20
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Daktimmerman,70
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Dakwerker,763
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Datacommunicatie- en netwerktechnicus,1783
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Dekvloerlegger,36
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Elektrotechnisch installateur,67
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Gevelreiniger,16
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Gevelrenoveerder-betonhersteller,50
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Glaswerker,31
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Industrieel isolatiewerker,76
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Installateur elektrotechnische basiscomponenten,11
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Installateur energiemanagementsystemen,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Installateur gebouwenautomatisering,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Installateur nutsvoorzieningen,51
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Interieurbouwer,305
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Isoleerder ruwbouw en dak,56
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Medewerker ruwbouw,668
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Metselaar,1022
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Monteur installatietechnieken,1046
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Natuursteenbewerker,34
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Onderhoudsmedewerker gebouwen,78
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Onderhoudsmedewerker wegennet,5
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser binnenschrijnwerk,221
