rank,period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file,share_pct
1,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Wegenwerker,1383,vacatures_202604_all.xlsx,7.7
2,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Werfleider,1074,vacatures_202604_all.xlsx,6.0
3,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Medewerker ruwbouw,744,vacatures_202604_all.xlsx,4.2
4,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,Elektrotechnicus,724,vacatures_202604_all.xlsx,4.1
5,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Dakwerker,644,vacatures_202604_all.xlsx,3.6
6,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Monteur installatietechnieken,628,vacatures_202604_all.xlsx,3.5
7,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,Polyvalent administratief medewerker,575,vacatures_202604_all.xlsx,3.2
8,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Projectleider bouw en openbare werken,518,vacatures_202604_all.xlsx,2.9
9,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Calculator bouw,421,vacatures_202604_all.xlsx,2.4
10,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Datacommunicatie- en netwerktechnicus,418,vacatures_202604_all.xlsx,2.3
11,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Metselaar,412,vacatures_202604_all.xlsx,2.3
12,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Bestuurders in het wegtransport,Vrachtwagenbestuurder,390,vacatures_202604_all.xlsx,2.2
13,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Plaatser van boven- en ondergrondse leidingen,389,vacatures_202604_all.xlsx,2.2
14,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Technicus elektronische installaties,323,vacatures_202604_all.xlsx,1.8
15,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Plaatser buitenschrijnwerk,300,vacatures_202604_all.xlsx,1.7
16,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Industrieel elektromecanicien,297,vacatures_202604_all.xlsx,1.7
17,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Schilder-decorateur,287,vacatures_202604_all.xlsx,1.6
18,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,Technisch-administratief medewerker,255,vacatures_202604_all.xlsx,1.4
19,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Industrieel onderhoudstechnicus,249,vacatures_202604_all.xlsx,1.4
20,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Machinisten en kraanmannen,Kraanbestuurder,245,vacatures_202604_all.xlsx,1.4
21,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Magazijnmedewerker,238,vacatures_202604_all.xlsx,1.3
22,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Interieurbouwer,224,vacatures_202604_all.xlsx,1.3
23,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Machinisten en kraanmannen,Bediener grondverzetmachines,210,vacatures_202604_all.xlsx,1.2
24,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Ingenieur studie en advies bouw,177,vacatures_202604_all.xlsx,1.0
25,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Manueel lasser,167,vacatures_202604_all.xlsx,0.9
26,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Bekister-betonneerder,164,vacatures_202604_all.xlsx,0.9
27,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Koeltechnicus,155,vacatures_202604_all.xlsx,0.9
28,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Regeltechnicus klimatisatie,155,vacatures_202604_all.xlsx,0.9
29,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Medewerkers houtindustrie,Werkplaatsschrijnwerker,154,vacatures_202604_all.xlsx,0.9
30,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Plaatser binnenschrijnwerk,151,vacatures_202604_all.xlsx,0.8
31,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,Vertegenwoordigers,Vertegenwoordiger B2B,150,vacatures_202604_all.xlsx,0.8
32,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Bouwkundig tekenaar,146,vacatures_202604_all.xlsx,0.8
33,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Vloerder-tegelzetter,144,vacatures_202604_all.xlsx,0.8
34,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Technisch leidinggevenden,Projectmanager engineering,143,vacatures_202604_all.xlsx,0.8
35,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Contactcenter medewerker,134,vacatures_202604_all.xlsx,0.7
36,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Stukadoor,133,vacatures_202604_all.xlsx,0.7
37,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Monteur staalconstructies,126,vacatures_202604_all.xlsx,0.7
38,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Accountants,Accountant,121,vacatures_202604_all.xlsx,0.7
39,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Steigerbouwer,116,vacatures_202604_all.xlsx,0.6
40,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Aankoper,110,vacatures_202604_all.xlsx,0.6
41,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Elektrotechnisch installateur,108,vacatures_202604_all.xlsx,0.6
42,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Installateur energiemanagementsystemen,102,vacatures_202604_all.xlsx,0.6
43,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Productiemedewerker,101,vacatures_202604_all.xlsx,0.6
44,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Technicus installatietechnieken,97,vacatures_202604_all.xlsx,0.5
45,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Commercieel medewerker binnendienst,96,vacatures_202604_all.xlsx,0.5
46,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Accountants,Assistent accountancy,94,vacatures_202604_all.xlsx,0.5
47,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Voer- en werktuigherstellers,"Technicus werf-, landbouw- en hefmachines",89,vacatures_202604_all.xlsx,0.5
48,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Werkvoorbereider,86,vacatures_202604_all.xlsx,0.5
49,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Tekenaars en vormgevers,"Tekenaar-ontwerper elektriciteit, elektronica",85,vacatures_202604_all.xlsx,0.5
50,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,Verkooppersoneel,Winkelverkoper,83,vacatures_202604_all.xlsx,0.5
51,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Onderhoudsmedewerker gebouwen,81,vacatures_202604_all.xlsx,0.5
52,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Industrieel isolatiewerker,77,vacatures_202604_all.xlsx,0.4
53,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Installateur nutsvoorzieningen,76,vacatures_202604_all.xlsx,0.4
54,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,Schoonmaker van ruimten en lokalen,74,vacatures_202604_all.xlsx,0.4
55,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Medewerkers houtindustrie,Meubelmaker,73,vacatures_202604_all.xlsx,0.4
56,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Uitvoerder van werken op hoogte,69,vacatures_202604_all.xlsx,0.4
57,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",Sales engineer,66,vacatures_202604_all.xlsx,0.4
58,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Productieplanner,61,vacatures_202604_all.xlsx,0.3
59,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Lifttechnicus,60,vacatures_202604_all.xlsx,0.3
60,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Pijpfitter,59,vacatures_202604_all.xlsx,0.3
61,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Logistiek verantwoordelijke,55,vacatures_202604_all.xlsx,0.3
62,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Interieurarchitect interieurvormgever,54,vacatures_202604_all.xlsx,0.3
63,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Productieoperator elektrische en elektronische componenten,54,vacatures_202604_all.xlsx,0.3
64,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,Expert lokale ontwikkeling,53,vacatures_202604_all.xlsx,0.3
65,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Magazijnbeheerder,53,vacatures_202604_all.xlsx,0.3
66,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,Preventieadviseur,53,vacatures_202604_all.xlsx,0.3
67,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Beveiligingstechnicus,51,vacatures_202604_all.xlsx,0.3
68,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,HR-experts,Personeelsmedewerker,51,vacatures_202604_all.xlsx,0.3
69,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,Technicus industriële elektriciteit,49,vacatures_202604_all.xlsx,0.3
70,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,Managementassistent,49,vacatures_202604_all.xlsx,0.3
71,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke industrieel onderhoud,48,vacatures_202604_all.xlsx,0.3
