period_end,period_year,period_month,period_label,period_short,study_detail,vacatures,source_file
2017-01-31,2017,1,januari 2017,Jan 2017,3e en 4e gr. sec. beroeps,158,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,3e graad sec. algemeen,12,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,3e graad sec. niet gespecificeerd,6,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,3e graad sec. technisch,207,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,Academische bachelor,20,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,Buitengewoon secundair,2,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,Geen specifieke studievereiste,705,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,Graduaat (HBO5),9,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,Lager onderwijs + 1e en 2e graad secundair,90,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,Master,55,vacatures_eoy_since_2011_all-9.xlsx
2017-01-31,2017,1,januari 2017,Jan 2017,Professionele bachelor,100,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,3e en 4e gr. sec. beroeps,203,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,3e graad sec. algemeen,20,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,3e graad sec. kunst,21,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,3e graad sec. niet gespecificeerd,5,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,3e graad sec. technisch,256,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,Academische bachelor,14,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,Geen specifieke studievereiste,643,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,Graduaat (HBO5),9,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,Lager onderwijs + 1e en 2e graad secundair,71,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,Master,49,vacatures_eoy_since_2011_all-9.xlsx
2017-02-28,2017,2,februari 2017,Feb 2017,Professionele bachelor,109,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,3e en 4e gr. sec. beroeps,279,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,3e graad sec. algemeen,30,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,3e graad sec. kunst,2,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,3e graad sec. niet gespecificeerd,1,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,3e graad sec. technisch,265,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,Academische bachelor,31,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,Buitengewoon secundair,2,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,Geen specifieke studievereiste,651,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,Graduaat (HBO5),17,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,Lager onderwijs + 1e en 2e graad secundair,94,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,Master,60,vacatures_eoy_since_2011_all-9.xlsx
2017-03-31,2017,3,maart 2017,Mrt 2017,Professionele bachelor,137,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,3e en 4e gr. sec. beroeps,163,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,3e graad sec. algemeen,20,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,3e graad sec. niet gespecificeerd,11,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,3e graad sec. technisch,215,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,Academische bachelor,27,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,Buitengewoon secundair,2,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,Geen specifieke studievereiste,598,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,Graduaat (HBO5),7,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,Lager onderwijs + 1e en 2e graad secundair,74,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,Master,48,vacatures_eoy_since_2011_all-9.xlsx
2017-04-30,2017,4,april 2017,Apr 2017,Professionele bachelor,137,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,3e en 4e gr. sec. beroeps,191,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,3e graad sec. algemeen,15,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,3e graad sec. niet gespecificeerd,10,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,3e graad sec. technisch,296,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,Academische bachelor,23,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,Buitengewoon secundair,2,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,Geen specifieke studievereiste,683,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,Graduaat (HBO5),21,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,Lager onderwijs + 1e en 2e graad secundair,121,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,Master,76,vacatures_eoy_since_2011_all-9.xlsx
2017-05-31,2017,5,mei 2017,Mei 2017,Professionele bachelor,146,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,3e en 4e gr. sec. beroeps,223,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,3e graad sec. algemeen,16,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,3e graad sec. niet gespecificeerd,13,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,3e graad sec. technisch,275,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,Academische bachelor,27,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,Buitengewoon secundair,3,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,Geen specifieke studievereiste,995,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,Graduaat (HBO5),14,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,Lager onderwijs + 1e en 2e graad secundair,128,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,Master,61,vacatures_eoy_since_2011_all-9.xlsx
2017-06-30,2017,6,juni 2017,Jun 2017,Professionele bachelor,130,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,3e en 4e gr. sec. beroeps,122,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,3e graad sec. algemeen,8,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,3e graad sec. niet gespecificeerd,11,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,3e graad sec. technisch,153,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,Academische bachelor,15,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,Geen specifieke studievereiste,527,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,Graduaat (HBO5),22,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,Lager onderwijs + 1e en 2e graad secundair,87,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,Master,18,vacatures_eoy_since_2011_all-9.xlsx
2017-07-31,2017,7,juli 2017,Jul 2017,Professionele bachelor,79,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,3e en 4e gr. sec. beroeps,300,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,3e graad sec. algemeen,24,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,3e graad sec. niet gespecificeerd,11,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,3e graad sec. technisch,235,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,Academische bachelor,27,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,Buitengewoon secundair,2,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,Geen specifieke studievereiste,919,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,Graduaat (HBO5),16,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,Lager onderwijs + 1e en 2e graad secundair,120,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,Master,60,vacatures_eoy_since_2011_all-9.xlsx
2017-08-31,2017,8,augustus 2017,Aug 2017,Professionele bachelor,167,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,3e en 4e gr. sec. beroeps,240,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,3e graad sec. algemeen,22,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,3e graad sec. niet gespecificeerd,11,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,3e graad sec. technisch,279,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,Academische bachelor,40,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,Buitengewoon secundair,1,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,Geen specifieke studievereiste,991,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,Graduaat (HBO5),21,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,Lager onderwijs + 1e en 2e graad secundair,62,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,Master,49,vacatures_eoy_since_2011_all-9.xlsx
2017-09-30,2017,9,september 2017,Sep 2017,Professionele bachelor,144,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,3e en 4e gr. sec. beroeps,227,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,3e graad sec. algemeen,30,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,3e graad sec. kunst,1,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,3e graad sec. niet gespecificeerd,26,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,3e graad sec. technisch,221,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,Academische bachelor,44,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,Buitengewoon secundair,1,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,Geen specifieke studievereiste,1328,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,Graduaat (HBO5),17,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,Lager onderwijs + 1e en 2e graad secundair,83,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,Master,68,vacatures_eoy_since_2011_all-9.xlsx
2017-10-31,2017,10,oktober 2017,Okt 2017,Professionele bachelor,174,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,3e en 4e gr. sec. beroeps,171,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,3e graad sec. algemeen,15,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,3e graad sec. kunst,2,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,3e graad sec. niet gespecificeerd,8,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,3e graad sec. technisch,264,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,Academische bachelor,48,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,Buitengewoon secundair,2,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,Geen specifieke studievereiste,669,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,Graduaat (HBO5),10,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,Lager onderwijs + 1e en 2e graad secundair,97,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,Master,66,vacatures_eoy_since_2011_all-9.xlsx
2017-11-30,2017,11,november 2017,Nov 2017,Professionele bachelor,165,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,3e en 4e gr. sec. beroeps,128,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,3e graad sec. algemeen,9,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,3e graad sec. kunst,0,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,3e graad sec. niet gespecificeerd,5,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,3e graad sec. technisch,273,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,Academische bachelor,18,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,Buitengewoon secundair,0,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,Geen specifieke studievereiste,643,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,Graduaat (HBO5),14,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,Lager onderwijs + 1e en 2e graad secundair,62,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,Master,53,vacatures_eoy_since_2011_all-9.xlsx
2017-12-31,2017,12,december 2017,Dec 2017,Professionele bachelor,141,vacatures_eoy_since_2011_all-9.xlsx
2018-01-31,2018,1,januari 2018,Jan 2018,3e en 4e gr. sec. beroeps,289,vacatures_eoy_since_2011_all-8.xlsx
2018-01-31,2018,1,januari 2018,Jan 2018,3e graad sec. algemeen,23,vacatures_eoy_since_2011_all-8.xlsx
2018-01-31,2018,1,januari 2018,Jan 2018,3e graad sec. kunst,2,vacatures_eoy_since_2011_all-8.xlsx
