period_end,period_year,period_month,period_label,period_short,beroep,vacatures
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Aankoper,38
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Aankoper,57
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Aankoper,78
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Aankoper,53
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Aankoper,58
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Aankoper,77
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Aankoper,69
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Aankoper,97
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Aankoper,116
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Aankoper,110
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Aansluiter van waterleidingen, rioleringen en warmtenetten",17
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,"Aansluiter van waterleidingen, rioleringen en warmtenetten",35
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,"Aansluiter van waterleidingen, rioleringen en warmtenetten",11
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,"Aansluiter van waterleidingen, rioleringen en warmtenetten",20
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,"Aansluiter van waterleidingen, rioleringen en warmtenetten",28
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,"Aansluiter van waterleidingen, rioleringen en warmtenetten",31
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,"Aansluiter van waterleidingen, rioleringen en warmtenetten",23
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,"Aansluiter van waterleidingen, rioleringen en warmtenetten",30
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,"Aansluiter van waterleidingen, rioleringen en warmtenetten",49
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Aansluiter van waterleidingen, rioleringen en warmtenetten",30
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Accountant,46
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Accountant,97
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Accountant,107
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Accountant,76
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Accountant,49
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Accountant,87
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Accountant,88
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Accountant,94
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Accountant,94
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Accountant,121
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Accountmanager in de financiële sector,2
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Accountmanager in de financiële sector,16
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Accountmanager in de financiële sector,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Accountmanager in de financiële sector,8
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Accountmanager publiciteit,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Accountmanager sales,1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Accountmanager sales,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Accountmanager sales,6
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Accountmanager sales,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Accountmanager sales,3
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Accountmanager sales,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Accountmanager sales,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Accountmanager sales,7
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Administratief en financieel verantwoordelijke,12
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Administratief en financieel verantwoordelijke,54
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Administratief en financieel verantwoordelijke,14
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Administratief en financieel verantwoordelijke,10
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Administratief en financieel verantwoordelijke,16
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Administratief en financieel verantwoordelijke,22
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Administratief en financieel verantwoordelijke,20
