period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Architect,42,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Bouwkundig tekenaar,20,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Calculator bouw,47,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,EPB-verslaggever,1,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Ingenieur studie en advies bouw,18,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Interieurarchitect interieurvormgever,7,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Landmeter,2,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Projectleider bouw en openbare werken,37,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Veiligheidscoördinator,1,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Werfbediende,5,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Werfleider,79,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,"Aansluiter van waterleidingen, rioleringen en warmtenetten",2,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Asbestverwijderaar,10,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Bekister-betonneerder,33,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Beveiligingstechnicus,39,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Brandertechnicus,6,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Daktimmerman,20,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Dakwerker,84,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Datacommunicatie- en netwerktechnicus,30,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Dekvloerlegger,5,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Elektrotechnisch installateur,6,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Gevelreiniger,1,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Gevelrenoveerder-betonhersteller,1,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Glaswerker,4,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Industrieel isolatiewerker,6,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Installateur elektrotechnische basiscomponenten,1,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Installateur nutsvoorzieningen,4,vacatures_eoy_since_2011_all-20.xlsx
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Interieurbouwer,26,vacatures_eoy_since_2011_all-20.xlsx
