period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Architect,42
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Bouwkundig tekenaar,20
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Calculator bouw,47
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,EPB-verslaggever,1
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Ingenieur studie en advies bouw,18
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Interieurarchitect interieurvormgever,7
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Landmeter,2
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Projectleider bouw en openbare werken,37
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Veiligheidscoördinator,1
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Werfbediende,5
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwtechnici,Werfleider,79
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,"Aansluiter van waterleidingen, rioleringen en warmtenetten",2
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Asbestverwijderaar,10
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Bekister-betonneerder,33
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Beveiligingstechnicus,39
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Brandertechnicus,6
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Daktimmerman,20
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Dakwerker,84
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Datacommunicatie- en netwerktechnicus,30
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Dekvloerlegger,5
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Elektrotechnisch installateur,6
2016-01-31,2016,1,januari 2016,Jan 2016,Bouwberoepen,Bouwvakkers,Gevelreiniger,1
