period_end,period_year,period_month,period_label,period_short,vacatures,source_file,previous_period_vacatures,change_abs,change_pct
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,18973,vacatures_201712_all.xlsx,,,
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,24299,vacatures_201812_all.xlsx,18973.0,5326.0,28.1
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,18821,vacatures_201912_all.xlsx,24299.0,-5478.0,-22.5
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,17272,vacatures_202012_all.xlsx,18821.0,-1549.0,-8.2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,21293,vacatures_202112_all.xlsx,17272.0,4021.0,23.3
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,25025,vacatures_202212_all.xlsx,21293.0,3732.0,17.5
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,21201,vacatures_202312_all.xlsx,25025.0,-3824.0,-15.3
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,18169,vacatures_202412_all.xlsx,21201.0,-3032.0,-14.3
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,18363,vacatures_202512_all.xlsx,18169.0,194.0,1.1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,17868,vacatures_202604_all.xlsx,18363.0,-495.0,-2.7
