period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Architect,7,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,BIM-expert (Building Information Modeling),18,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Bodemonderzoeker,5,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Bouwkundig tekenaar,182,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Calculator bouw,350,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,EPB-verslaggever,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Ingenieur studie en advies bouw,154,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Interieurarchitect interieurvormgever,56,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Landmeter,27,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Landschapsarchitect,5,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Projectleider bouw en openbare werken,215,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Veiligheidscoördinator,9,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Werfbediende,47,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwtechnici,Werfleider,583,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,"Aansluiter van waterleidingen, rioleringen en warmtenetten",17,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Asbestverwijderaar,67,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Bekister-betonneerder,231,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Beveiligingstechnicus,181,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Brandertechnicus,20,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Daktimmerman,70,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Dakwerker,763,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Datacommunicatie- en netwerktechnicus,1783,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Dekvloerlegger,36,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Elektrotechnisch installateur,67,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Gevelreiniger,16,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Gevelrenoveerder-betonhersteller,50,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Glaswerker,31,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Industrieel isolatiewerker,76,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Installateur elektrotechnische basiscomponenten,11,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Installateur energiemanagementsystemen,2,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Installateur gebouwenautomatisering,3,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Installateur nutsvoorzieningen,51,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Interieurbouwer,305,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Isoleerder ruwbouw en dak,56,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Medewerker ruwbouw,668,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Metselaar,1022,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Monteur installatietechnieken,1046,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Natuursteenbewerker,34,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Onderhoudsmedewerker gebouwen,78,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Onderhoudsmedewerker wegennet,5,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser binnenschrijnwerk,221,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser buitenschrijnwerk,505,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser van boven- en ondergrondse leidingen,65,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser van houten vloerbedekking,26,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bouwberoepen,Bouwvakkers,Plaatser van soepele vloerbekledingen,15,vacatures_201712_all.xlsx
