y,q,lvl,nis,type,n,p50,p25,p75,name
2010,1,1,01000,alle_huizen,18476.0,175000.0,125000.0,245000.0,BELGIE
2010,1,1,01000,appartementen,6217.0,146000.0,110000.0,195000.0,BELGIE
2010,1,1,01000,huizen_23,13078.0,156000.0,110000.0,210000.0,BELGIE
2010,1,1,01000,huizen_4plus,5398.0,235000.0,174000.0,318000.0,BELGIE
2010,1,2,02000,alle_huizen,11158.0,195000.0,147000.0,260000.0,VLAAMS GEWEST
2010,1,2,02000,appartementen,3623.0,148000.0,110000.0,192250.0,VLAAMS GEWEST
2010,1,2,02000,huizen_23,7899.0,175000.0,135000.0,227500.0,VLAAMS GEWEST
2010,1,2,02000,huizen_4plus,3259.0,260000.0,195000.0,345000.0,VLAAMS GEWEST
2010,1,2,03000,alle_huizen,6794.0,136000.0,94000.0,190000.0,WAALS GEWEST
2010,1,2,03000,appartementen,813.0,112000.0,82000.0,150000.0,WAALS GEWEST
2010,1,2,03000,huizen_23,4687.0,120000.0,85000.0,155000.0,WAALS GEWEST
2010,1,2,03000,huizen_4plus,2107.0,200000.0,146000.0,261000.0,WAALS GEWEST
2010,1,2,04000,alle_huizen,524.0,320000.0,239000.0,460000.0,BRUSSELS HOOFDSTEDELIJK GEWEST
2010,1,2,04000,appartementen,1781.0,160000.0,125000.0,228150.0,BRUSSELS HOOFDSTEDELIJK GEWEST
2010,1,2,04000,huizen_23,492.0,305000.0,230000.0,430000.0,BRUSSELS HOOFDSTEDELIJK GEWEST
2010,1,2,04000,huizen_4plus,32.0,711500.0,490000.0,887500.0,BRUSSELS HOOFDSTEDELIJK GEWEST
2010,1,3,10000,alle_huizen,2904.0,208000.0,160000.0,275000.0,PROVINCIE ANTWERPEN
2010,1,3,10000,appartementen,1492.0,139000.0,108500.0,175000.0,PROVINCIE ANTWERPEN
2010,1,3,10000,huizen_23,2073.0,190000.0,150000.0,243000.0,PROVINCIE ANTWERPEN
2010,1,3,10000,huizen_4plus,831.0,280000.0,205000.0,370000.0,PROVINCIE ANTWERPEN
2010,1,3,20001,alle_huizen,1960.0,237000.0,180000.0,305000.0,PROVINCIE VLAAMS-BRABANT
2010,1,3,20001,appartementen,364.0,162000.0,125000.0,200000.0,PROVINCIE VLAAMS-BRABANT
2010,1,3,20001,huizen_23,1280.0,210000.0,165000.0,265000.0,PROVINCIE VLAAMS-BRABANT
2010,1,3,20001,huizen_4plus,680.0,300000.0,230000.0,400000.0,PROVINCIE VLAAMS-BRABANT
2010,1,3,20002,alle_huizen,666.0,250000.0,190000.0,335000.0,PROVINCIE WAALS-BRABANT
2010,1,3,20002,appartementen,136.0,150000.0,105100.0,210000.0,PROVINCIE WAALS-BRABANT
2010,1,3,20002,huizen_23,338.0,207750.0,160000.0,250000.0,PROVINCIE WAALS-BRABANT
