LEVEL,CODE,NATIONAL_TITLE_BE_NL,NATIONAL_TITLE_BE_FR,NATIONAL_TITLE_BE_DE,NATIONAL_TITLE_BE_EN
1,A,"LANDBOUW, BOSBOUW EN VISSERIJ","AGRICULTURE, SYLVICULTURE ET PÊCHE","LAND- UND FORSTWIRTSCHAFT, FISCHEREI","AGRICULTURE, FORESTRY AND FISHING"
2,01,"Teelt van gewassen, veeteelt, jacht en diensten in verband met deze activiteiten","Culture et production animale, chasse et services annexes","Landwirtschaft, Jagd und damit verbundene Tätigkeiten","Crop and animal production, hunting and related service activities"
3,01.1,Teelt van eenjarige gewassen,Cultures non permanentes,Anbau ein- und zweijähriger Pflanzen,Growing of non-perennial crops
4,01.11,"Teelt van andere granen dan rijst, en van peulgewassen en oliehoudende zaden","Culture de céréales, à l’exception du riz, et de légumineuses et de graines oléagineuses",Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten,"Growing of cereals, other than rice, leguminous crops and oil seeds"
5,01.110,"Teelt van andere granen dan rijst, en van peulgewassen en oliehoudende zaden","Culture de céréales, à l’exception du riz, et de légumineuses et de graines oléagineuses",Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten,"Growing of cereals, other than rice, leguminous crops and oil seeds"
4,01.12,Teelt van rijst,Culture du riz,Anbau von Reis,Growing of rice
5,01.120,Teelt van rijst,Culture du riz,Anbau von Reis,Growing of rice
4,01.13,"Teelt van groenten, meloenen en wortel- en knolgewassen","Culture de légumes, de melons, de racines et de tubercules",Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Growing of vegetables and melons, roots and tubers"
5,01.130,"Teelt van groenten, meloenen en wortel- en knolgewassen","Culture de légumes, de melons, de racines et de tubercules",Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Growing of vegetables and melons, roots and tubers"
4,01.14,Teelt van suikerriet,Culture de la canne à sucre,Anbau von Zuckerrohr,Growing of sugar cane
5,01.140,Teelt van suikerriet,Culture de la canne à sucre,Anbau von Zuckerrohr,Growing of sugar cane
4,01.15,Teelt van tabak,Culture du tabac,Anbau von Tabak,Growing of tobacco
5,01.150,Teelt van tabak,Culture du tabac,Anbau von Tabak,Growing of tobacco
4,01.16,Teelt van vezelgewassen,Culture de plantes à fibres,Anbau von Faserpflanzen,Growing of fibre crops
5,01.160,Teelt van vezelgewassen,Culture de plantes à fibres,Anbau von Faserpflanzen,Growing of fibre crops
4,01.19,Teelt van andere eenjarige gewassen,Autres cultures non permanentes,Anbau von sonstigen ein- und zweijährigen Pflanzen,Growing of other non-perennial crops
5,01.191,Teelt van bloemen,Culture de fleurs,Blumenbau,Growing of flowers
5,01.199,"Teelt van andere eenjarige gewassen, n.e.g.",Autres cultures non permanentes n.c.a.,Sonstiger Anbau einjähriger Pflanzen a.n.g.,Growing of other non-perennial crops n.e.c.
3,01.2,Teelt van meerjarige gewassen,Cultures permanentes,Anbau mehrjähriger Pflanzen,Growing of perennial crops
4,01.21,Teelt van druiven,Culture de la vigne,Anbau von Wein- und Tafeltrauben,Growing of grapes
5,01.210,Teelt van druiven,Culture de la vigne,Anbau von Wein- und Tafeltrauben,Growing of grapes
4,01.22,Teelt van tropisch en subtropisch fruit,Culture de fruits tropicaux et subtropicaux,Anbau von tropischen und subtropischen Früchten,Growing of tropical and subtropical fruits
5,01.220,Teelt van tropisch en subtropisch fruit,Culture de fruits tropicaux et subtropicaux,Anbau von tropischen und subtropischen Früchten,Growing of tropical and subtropical fruits
4,01.23,Teelt van citrusvruchten,Culture d’agrumes,Anbau von Zitrusfrüchten,Growing of citrus fruits
5,01.230,Teelt van citrusvruchten,Culture d’agrumes,Anbau von Zitrusfrüchten,Growing of citrus fruits
4,01.24,Teelt van pit- en steenvruchten,Culture de fruits à pépins et à noyau,Anbau von Kern- und Steinobst,Growing of pome fruits and stone fruits
5,01.240,Teelt van pit- en steenvruchten,Culture de fruits à pépins et à noyau,Anbau von Kern- und Steinobst,Growing of pome fruits and stone fruits
4,01.25,"Teelt van andere boomvruchten, kleinfruit en noten",Culture d’autres fruits d’arbres ou d’arbustes et de fruits à coque,Anbau von sonstigem Obst und Nüssen,Growing of other tree and bush fruits and nuts
5,01.250,"Teelt van andere boomvruchten, kleinfruit en noten",Culture d’autres fruits d’arbres ou d’arbustes et de fruits à coque,Anbau von sonstigem Obst und Nüssen,Growing of other tree and bush fruits and nuts
4,01.26,Teelt van oliehoudende vruchten,Culture de fruits oléagineux,Anbau von ölhaltigen Früchten,Growing of oleaginous fruits
5,01.260,Teelt van oliehoudende vruchten,Culture de fruits oléagineux,Anbau von ölhaltigen Früchten,Growing of oleaginous fruits
4,01.27,Teelt van gewassen bestemd voor de vervaardiging van dranken,Culture de plantes à boissons,Anbau von Pflanzen zur Herstellung von Getränken,Growing of beverage crops
5,01.270,Teelt van gewassen bestemd voor de vervaardiging van dranken,Culture de plantes à boissons,Anbau von Pflanzen zur Herstellung von Getränken,Growing of beverage crops
4,01.28,Teelt van specerijgewassen en van aromatische en medicinale gewassen,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke","Growing of spices, aromatic, drug and pharmaceutical crops"
5,01.280,Teelt van specerijgewassen en van aromatische en medicinale gewassen,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke","Growing of spices, aromatic, drug and pharmaceutical crops"
4,01.29,Teelt van andere meerjarige gewassen,Autres cultures permanentes,Anbau sonstiger mehrjähriger Pflanzen,Growing of other perennial crops
5,01.290,Teelt van andere meerjarige gewassen,Autres cultures permanentes,Anbau sonstiger mehrjähriger Pflanzen,Growing of other perennial crops
3,01.3,Plantenvermeerdering,Reproduction de plantes,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken,Plant propagation
4,01.30,Plantenvermeerdering,Reproduction de plantes,Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken,Plant propagation
5,01.301,"Boomkwekerijen, m.u.v. bosboomkwekerijen","Exploitation de pépinières, sauf pépinières forestières",Baumschulen mit Ausnahme von Forstbaumschulen,"Operation of tree nurseries, except forest nurseries"
5,01.309,Overige plantenvermeerdering,Autre reproduction de plantes,Sonstige Pflanzenvermehrung,Other plant propagation
3,01.4,Veeteelt,Production animale,Tierhaltung,Animal production
4,01.41,Fokken en houden van melkvee,Élevage de vaches laitières,Haltung von Milchkühen,Raising of dairy cattle
5,01.410,Fokken en houden van melkvee,Élevage de vaches laitières,Haltung von Milchkühen,Raising of dairy cattle
4,01.42,Fokken en houden van andere runderen en buffels,Élevage d’autres bovins et de buffles,Haltung von sonstigen Rindern,Raising of other cattle and buffaloes
5,01.420,Fokken en houden van andere runderen en buffels,Élevage d’autres bovins et de buffles,Haltung von sonstigen Rindern,Raising of other cattle and buffaloes
4,01.43,Fokken en houden van paarden en andere paardachtigen,Élevage de chevaux et d’autres équidés,Haltung von Pferden und Eseln,Raising of horses and other equines
5,01.430,Fokken en houden van paarden en andere paardachtigen,Élevage de chevaux et d’autres équidés,Haltung von Pferden und Eseln,Raising of horses and other equines
4,01.44,Fokken en houden van kamelen en andere kameelachtigen,Élevage de chameaux et d’autres camélidés,Haltung von Kamelen,Raising of camels and camelids
5,01.440,Fokken en houden van kamelen en andere kameelachtigen,Élevage de chameaux et d’autres camélidés,Haltung von Kamelen,Raising of camels and camelids
4,01.45,Fokken en houden van schapen en geiten,Élevage d’ovins et de caprins,Haltung von Schafen und Ziegen,Raising of sheep and goats
5,01.450,Fokken en houden van schapen en geiten,Élevage d’ovins et de caprins,Haltung von Schafen und Ziegen,Raising of sheep and goats
4,01.46,Fokken en houden van varkens,Élevage de porcins,Haltung von Schweinen,Raising of swine and pigs
5,01.461,Fokvarkenshouderijen,Élevage de porcs reproducteurs,Zucht von Zuchtschweinen,Raising of breeding pigs
5,01.462,Varkensvetmesterijen,Élevage de porcs à l'engrais,Mastschweinezucht,Raising of fattening pigs
4,01.47,Fokken en houden van pluimvee,Élevage de volailles,Haltung von Geflügel,Raising of poultry
5,01.471,Kippenkwekerijen,Elevage de poules,Hühnerzucht,Raising of hens
5,01.472,Productie van eieren van pluimvee,Production d’œufs de volailles,Produktion von Geflügeleiern,Production of poultry eggs
5,01.479,"Pluimveehouderijen, m.u.v. kippenkwekerijen","Élevage d'autres volailles, sauf poules","Geflügelzucht, mit Ausnahme von Hühnern","Raising of other poultry, excluding hens"
4,01.48,Fokken en houden van andere dieren,Élevage d’autres animaux,Sonstige Tierhaltung,Raising of other animals
5,01.480,Fokken en houden van andere dieren,Élevage d’autres animaux,Sonstige Tierhaltung,Raising of other animals
3,01.5,Gemengd landbouwbedrijf,Culture et élevage associés,Gemischte Landwirtschaft,Mixed farming
4,01.50,Gemengd landbouwbedrijf,Culture et élevage associés,Gemischte Landwirtschaft,Mixed farming
5,01.500,Gemengd landbouwbedrijf,Culture et élevage associés,Gemischte Landwirtschaft,Mixed farming
3,01.6,Ondersteunende activiteiten in verband met de landbouw; activiteiten met betrekking tot gewassen na de oogst,Activités de soutien à l’agriculture et traitement primaire des récoltes,Erbringung von landwirtschaftlichen Dienstleistungen und nach der Ernte anfallende Tätigkeiten,Support activities to agriculture and post-harvest crop activities
4,01.61,Ondersteunende activiteiten in verband met de teelt van gewassen,Activités de soutien aux cultures,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau,Support activities for crop production
5,01.610,Ondersteunende activiteiten in verband met de teelt van gewassen,Activités de soutien aux cultures,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau,Support activities for crop production
4,01.62,Ondersteunende activiteiten in verband met de veeteelt,Activités de soutien à la production animale,Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung,Support activities for animal production
5,01.620,Ondersteunende activiteiten in verband met de veeteelt,Activités de soutien à la production animale,Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung,Support activities for animal production
4,01.63,Behandeling van gewassen na de oogst en van zaden voor vermeerdering,Traitement primaire des récoltes et traitement des semences,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung,Post-harvest crop activities and seed processing for propagation
